Event,Particle,Px,Py,Pz,Energy,Mass,PID
37,Higgs,-10.764248689254833,-35.243641771552035,-20.08295688147534,131.85715184345827,125.0,25
37,Z Boson,-8.881784197001252e-16,2.7755575615628914e-16,0.0,89.88920303845052,89.88920593261719,23
37,Muon+,31.207981192520307,-29.47538589071338,-13.314266799367328,44.944602277913575,0.1056599989533424,-13
37,Muon-,-31.207982507093003,29.47538280173343,13.314265172361608,44.944605557618665,0.1056599989533424,13
37,Photon,-10.764248360756032,-35.24364069600145,-20.08295626859214,41.96794478104684,0.0,22
94,Higgs,35.04441803248056,11.705406649306262,10.041717931091519,130.73241326873944,125.0,25
94,Z Boson,3.552713678800501e-15,1.8318679906315083e-15,8.881784197001252e-16,92.44450389610014,92.44450378417967,23
94,Electron+,-37.21703102279447,-7.2187619433554655,26.44387789673807,46.22225473474988,0.0005109999910928,-11
94,Electron-,37.217032103633535,7.2187627812104775,-26.4438771101945,46.2222532339456,0.0005109999910928,11
94,Photon,35.044417497745165,11.705406470695928,10.041717777867051,38.28790737782098,0.0,22
110,Higgs,-7.892457282044513,-35.96510866787399,-22.41335413232751,132.22381921160047,125.0,25
110,Z Boson,0.0,2.7755575615628914e-15,0.0,89.11769201767683,89.11769104003906,23
110,Muon+,-40.39469198795708,8.875585198493976,16.5822893408018,44.55884566523047,0.1056599989533424,-13
110,Muon-,40.39469318751006,-8.875583124376158,-16.582289596218892,44.55884215368927,0.1056599989533424,13
110,Photon,-7.892457522903195,-35.965109765442016,-22.413354816328805,43.10613122907438,0.0,22
171,Higgs,-34.589205927785414,-18.993331809609394,7.334299902110636,131.28576379409446,125.0,25
171,Z Boson,3.552713678800501e-15,3.3306690738754696e-16,-8.881784197001252e-16,91.14910171086001,91.14910125732422,23
171,Muon+,21.821755750785094,33.47079350974217,21.92134761680919,45.5745489035465,0.1056599989533424,-13
171,Muon-,-21.821755672491566,-33.47079198940242,-21.921346881953475,45.57454897573331,0.1056599989533424,13
171,Photon,-34.58920645557482,-18.99333209942464,7.334300014023162,40.13666408649623,0.0,22
210,Higgs,11.228071681501422,32.70886126062751,19.642394394501963,131.17455109967435,125.0,25
210,Z Boson,0.0,2.7755575615628914e-15,3.552713678800501e-15,91.40317108077893,91.40316772460938,23
210,Electron+,29.2156163245541,32.88241755626576,-12.402787827764238,45.701583972758314,0.0005109999910928,-11
210,Electron-,-29.2156147775093,-32.8824205132272,12.402786720611378,45.70158270219038,0.0005109999910928,11
210,Photon,11.228072024154976,32.708862258822734,19.642394993940254,39.77138402202503,0.0,22
295,Higgs,37.187169692184064,-20.57361090559667,-5.822755988508531,132.15545218685415,125.0,25
295,Z Boson,3.552713678800501e-15,-2.4424906541753444e-15,0.0,89.25949007636667,89.25949096679688,23
295,Electron+,-24.986651766599877,-2.687516205884032,-36.881685411369766,44.62974378105549,0.0005109999910928,-11
295,Electron-,24.986650768685465,2.6875162303596416,36.881685895134034,44.62974598938352,0.0005109999910928,11
295,Photon,37.18716969218407,-20.57361090559667,-5.822755988508541,42.8959621104875,0.0,22
301,Higgs,-34.606561459998844,-11.40315459113368,1.0573663641354187,130.2066206240757,125.0,25
301,Z Boson,7.105427357601002e-15,6.661338147750939e-16,-1.1102230246251565e-16,93.75440459532058,93.75440216064452,23
301,Muon+,-6.875010030504389,-11.31641585221326,-44.96814397991984,46.877201716520226,0.1056599989533424,-13
301,Muon-,6.875011022374286,11.316415864799025,44.96814189259025,46.87720259712653,0.1056599989533424,13
301,Photon,-34.60656145999886,-11.40315459113368,1.057366364135409,36.45221602875514,0.0,22
309,Higgs,1.3087835350145114,45.15932213506678,-5.746678722807786,133.03797054368889,125.0,25
309,Z Boson,0.0,9.298117831235686e-16,8.881784197001252e-16,87.49566300546867,87.49566650390625,23
309,Electron+,14.532743009154574,37.00584623776792,-18.254854628460624,43.747834567917764,0.0005109999910928,-11
309,Electron-,-14.53274326342412,-37.00584282070704,18.254853005833084,43.74783324926928,0.0005109999910928,11
309,Photon,1.3087834950736075,45.15932075691364,-5.7466785474330795,45.54230347822354,0.0,22
311,Higgs,-26.053684357158986,29.260943832193202,17.51540148796952,132.1619710499885,125.0,25
311,Z Boson,-3.552713678800501e-15,2.886579864025407e-15,0.0,89.24593032772992,89.24592590332031,23
311,Muon+,-36.64391985401731,24.962845811375367,-5.027653732416291,44.6229661595223,0.1056599989533424,-13
311,Muon-,36.64391790639219,-24.962845766140774,5.027653759493418,44.6229645657553,0.1056599989533424,13
311,Photon,-26.053684357158986,29.2609438321932,17.515401487969505,42.91604072225857,0.0,22
420,Higgs,0.4072786545545778,10.84030471605363,-12.83390023472364,126.12449039530027,125.0,25
420,Z Boson,0.0,-2.310651670001107e-15,0.0,109.32011536231057,109.3201141357422,23
420,Muon+,-30.767423945120058,29.73649614790923,34.0120146598677,54.66005850568191,0.1056599989533424,-13
420,Muon-,30.767424213610646,-29.736494233382615,-34.01201466836576,54.66005702291249,0.1056599989533424,13
420,Photon,0.4072786607691569,10.840304881463554,-12.833900430553427,16.804376957496704,0.0,22
544,Higgs,14.493805066158478,25.947884176233643,-33.80498011255056,132.85759202593195,125.0,25
