Event,Particle,Px,Py,Pz,Energy,Mass,PID,Vx,Vy,Vz
37,Higgs,-10.764248689254831,-35.243641771552035,-20.08295688147534,131.85715184345827,125.0,25,-0.0816356833039608,-0.2672865390979591,-0.15230843834180469
37,Z Boson,-8.881784197001252e-16,2.7755575615628914e-16,0.0,89.88920303845052,89.88920593261719,23,-9.880813153056912e-18,3.087754110330285e-18,0.0
37,Muon+,31.207981192520307,-29.47538589071338,-13.314266799367328,44.944602277913575,0.1056599989533424,-13,0.6943654990992402,-0.6558159244229871,-0.296237281554723
37,Muon-,-31.207982507093003,29.47538280173343,13.314265172361608,44.944605557618665,0.1056599989533424,13,-0.6943654776786191,0.6558158078380775,0.296237223737403
37,Photon,-10.764248360756032,-35.24364069600145,-20.08295626859214,41.96794478104684,0.0,22,-0.2564873838095898,-0.8397752351198728,-0.47853084951784
94,Higgs,35.04441803248056,11.705406649306262,10.04171793109152,130.73241326873944,125.0,25,0.2680621978609212,0.0895371419882237,0.07681123357257479
94,Z Boson,3.552713678800501e-15,1.8318679906315083e-15,8.881784197001252e-16,92.44450389610014,92.44450378417967,23,3.843077229116241e-17,1.981586696263062e-17,9.607693072790603e-18
94,Electron+,-37.21703102279447,-7.2187619433554655,26.44387789673807,46.22225473474988,0.0005109999910928,-11,-0.8051755855781461,-0.15617502834469912,0.572102725158874
94,Electron-,37.217032103633535,7.218762781210477,-26.4438771101945,46.2222532339456,0.0005109999910928,11,0.8051756351051568,0.15617505154225197,-0.5721027267180936
94,Photon,35.044417497745165,11.705406470695928,10.041717777867053,38.28790737782098,0.0,22,0.9152868333056335,0.3057207163397108,0.26226864996241384
110,Higgs,-7.892457282044513,-35.96510866787399,-22.41335413232751,132.22381921160047,125.0,25,-0.05969013245196052,-0.2720017382822553,-0.1695107149828955
110,Z Boson,0.0,2.7755575615628917e-15,0.0,89.11769201767683,89.11769104003906,23,0.0,3.1144854615538623e-17,0.0
110,Muon+,-40.39469198795708,8.875585198493976,16.5822893408018,44.55884566523047,0.1056599989533424,-13,-0.9065470926119008,0.19918795170718812,0.3721436023137614
