Event,Angle (rad)
0.0,2.373819390524466
1.0,1.5503535430214077
2.0,2.4322581363863764
11.0,2.4998483222389054
12.0,1.3328748695880228
13.0,1.5240071243655926
23.0,1.5438408111725768
34.0,1.968788476793794
36.0,1.1040812141326353
37.0,0.9865315648211402
38.0,2.3497282728630093
39.0,0.510959223223797
41.0,1.6219036285479294
42.0,0.7707492269455806
43.0,1.2589270541015631
46.0,2.007121431383936
47.0,1.5598859373598255
48.0,1.2174369120837265
52.0,0.6312900352985444
53.0,1.1626375452515247
54.0,1.6116601369671764
55.0,0.15021437322644227
57.0,2.936634456693864
58.0,2.603855727575771
61.0,0.8571671392433116
62.0,2.4470698720612556
63.0,0.8883459872322291
64.0,2.098340609797127
65.0,2.2742566342549373
66.0,0.7954238277363629
69.0,0.39629075397005464
71.0,1.1838561441458468
72.0,0.18518028914210843
73.0,0.29569098603858895
74.0,2.458225293008095
75.0,1.469493522474852
79.0,0.6184003591254114
81.0,2.0912176624638654
84.0,2.511918572578962
87.0,0.9645583668222888
88.0,1.232094085483763
90.0,0.629315250879615
91.0,0.7240309149540075
92.0,2.2963372906962904
96.0,2.6014642732613966
97.0,2.4557432177741547
98.0,1.6162484607796253
99.0,2.0043955233783164
100.0,1.977352981078291
107.0,1.14306358018633
108.0,1.7656275542932371
109.0,0.895700837047289
110.0,1.7211746701759252
115.0,0.9768442459108755
116.0,1.3399830629709535
117.0,1.8914069029110296
119.0,1.7879425308806471
123.0,0.43325863199334624
124.0,1.9015290139162535
129.0,1.320990068714656
130.0,0.48330068805361187
135.0,1.1540466175531006
136.0,1.9273001088797785
138.0,0.5186561177351964
143.0,1.422561366790314
145.0,2.0835451525667157
146.0,1.685090297157013
147.0,2.9575378354618724
151.0,1.4797248382487491
154.0,2.784544171461602
156.0,1.1069938985447731
157.0,0.33603113041049726
159.0,1.5841847808747194
162.0,1.7805001189173337
164.0,2.3389642385388876
167.0,1.0861189314558728
168.0,1.1744837948229851
170.0,0.956993580702157
171.0,0.6484853758106224
172.0,1.9621213046037396
174.0,1.4155746905437665
175.0,2.05851296049146
177.0,1.496731014658444
179.0,1.8784012703641488
180.0,0.5131264666836014
182.0,1.147545952459411
183.0,1.258608354921906
188.0,0.37889883744603753
189.0,1.1568230935711739
191.0,1.434658799337247
194.0,0.9927962445821136
196.0,1.966072709797201
197.0,0.5833039744904291
200.0,1.9653516105727045
202.0,2.0150733623616146
203.0,1.4014440218282642
205.0,1.443881328501763
208.0,1.6263454806451947
209.0,2.309529028458338
210.0,2.355498031149044
211.0,1.7808615624133284
212.0,2.7116711370838416
213.0,0.31422595913283596
216.0,2.120398913477262
218.0,1.116979053186317
220.0,0.9744947282381458
222.0,1.0533515469380348
223.0,1.3162117842290897
231.0,2.4603431335379287
233.0,2.0392581013238873
235.0,1.5318485304837992
236.0,1.0240438754436507
240.0,1.0211404741930636
242.0,1.0404695904266386
245.0,1.736707372482123
246.0,1.6515082582135947
247.0,1.0887454106831396
249.0,0.8284872321517975
253.0,0.2584958573298191
254.0,0.9644186582983151
255.0,2.997880000169283
256.0,1.7043446500718251
258.0,1.3578413608970634
260.0,1.732001119594945
263.0,0.8676456319583264
