Event,Angle (rad)
0.0,2.0489323999231757
1.0,2.8453710624344084
2.0,2.53807962511068
9.0,2.3643438391273914
10.0,2.1310665665045057
11.0,1.1727609399358172
21.0,2.6858980568390445
31.0,1.6019218294683595
34.0,1.739065405351032
35.0,1.3584700279486968
36.0,0.785524211361023
37.0,0.5777202763856625
39.0,2.0502620431326455
40.0,0.3789174359775835
41.0,1.138100506367687
44.0,1.9347362364046985
45.0,1.3021647437706738
46.0,0.7959058575083544
50.0,2.018116668224314
51.0,2.7624174418408938
52.0,0.8582681332651262
53.0,2.053474931405739
58.0,1.548935570462398
59.0,0.6146711876529775
62.0,1.5729264326721701
63.0,1.9349622900637835
66.0,1.0334156192805621
68.0,1.1824948594577602
69.0,1.3182524016864916
70.0,1.509360001487901
71.0,1.4527884620733944
72.0,0.9092041582206292
76.0,1.8131073527479402
80.0,2.0941277643704646
83.0,0.26344162820027567
84.0,1.9296618122493066
86.0,1.8090727641814035
87.0,2.9600858552324887
88.0,0.645599837023913
93.0,0.9751806990869007
94.0,2.0177102370198248
96.0,2.746320978998504
103.0,1.3628866760767682
104.0,0.4951921886859332
105.0,1.9542679441456419
106.0,1.9334001259669324
107.0,1.7225798617988999
108.0,1.8880471245454142
109.0,0.49629894716253103
112.0,2.039037867166747
116.0,2.349398267982531
117.0,1.519367854030011
119.0,0.7454958332040605
121.0,1.1655180924669122
122.0,1.7308985487705326
127.0,1.6398186368779843
128.0,1.2223812589957561
130.0,1.060982304397754
133.0,0.6340168462368289
135.0,1.6065992716459228
136.0,1.5600996568883365
137.0,2.711869794222377
138.0,0.9463554190704542
142.0,1.592597004341871
147.0,1.1563134682650336
150.0,2.8121114922749566
153.0,1.2377511006822601
157.0,1.4972655197842062
158.0,2.2501162013879323
159.0,0.8399524233932338
160.0,1.7920403305943242
162.0,2.99635802769343
163.0,1.2946535669060817
164.0,0.6852179712847529
165.0,1.8079691504448396
167.0,1.322883209848985
168.0,1.1646841804328665
174.0,0.16235303920895724
176.0,2.3147737433172364
181.0,1.6836051986391718
182.0,2.3203825815566788
185.0,1.6357180939747233
187.0,1.2182416094015864
188.0,1.0216782565345357
193.0,1.5805251621608782
194.0,1.3936211521764441
195.0,0.7893548133722624
196.0,0.8140720547360178
197.0,1.4699333051591459
198.0,1.412284713747748
201.0,1.3991321833402035
203.0,2.5718930573007137
205.0,1.418936746456912
207.0,1.811337021793253
208.0,2.863654398972358
213.0,0.7237197234752051
215.0,1.6679423988014999
217.0,0.8752815871674334
219.0,1.263099285446348
220.0,0.9101758355411617
224.0,1.4179574316846864
226.0,1.9960225709712784
228.0,1.767049419194147
230.0,1.885288136078378
232.0,0.6148254178572491
236.0,1.1660866914261026
237.0,0.7929800573994008
238.0,0.9508560025868212
239.0,1.7924657378338464
241.0,0.8466401866946591
242.0,1.738561279965748
243.0,0.8084838614410526
245.0,1.1345942462262235
246.0,1.0002022391088892
247.0,1.103125237676478
249.0,2.0745923707423692
251.0,1.8519777156202109
252.0,2.287356627056509
254.0,2.1952672807952203
258.0,1.9179136649190351
259.0,2.398695676910873
260.0,1.3309100846088249
263.0,1.9164822766592193
266.0,2.046733708165313
270.0,2.085118229193356
272.0,1.2977330935589613
273.0,1.1102302122668832
274.0,1.2098007267188566
276.0,2.136021207366084
277.0,0.6849628801567056
278.0,1.6179742189549184
279.0,2.4432005182043595
282.0,0.1258957273925297
283.0,1.0458898887655905
284.0,0.6301780260044045
287.0,0.6730543992116899
288.0,2.8359258905989377
289.0,1.0983458145391016
293.0,1.1643505353272123
294.0,1.1749327557512739
295.0,1.1236989956155465
302.0,1.6760737615586827
303.0,2.551611204777382
304.0,2.031314868061536
305.0,0.9581779445394487
306.0,1.9989557213098743
307.0,1.6050904820410978
308.0,1.4998320125049132
309.0,1.4630713251944298
313.0,1.4670020055696271
314.0,2.219485874989432
316.0,1.4346228410233088
317.0,0.8856914176464847
319.0,0.7466164222487593
322.0,2.562108699299472
323.0,1.054789234929613
325.0,2.5295460531675733
326.0,0.43156668158115663
328.0,1.6518618144949209
329.0,2.3125962915325333
331.0,2.1918301075412527
