Event,Angle
0,138.4501381106831
1,73.88610286766169
4,95.72340929426369
5,158.5984440589626
8,120.7001681364447
9,137.66751918409176
10,95.08834226372693
12,71.33798808067768
13,37.653493633302084
14,11.734255076904539
16,154.21661949447687
19,19.46804966317861
24,131.6795213269529
27,109.02307392442378
28,46.24031207259705
31,112.53452204567033
35,44.30943871103418
36,152.81163862476404
40,71.05912377180184
41,102.99947022117095
42,59.09688285533745
43,113.44994945097314
45,47.27498034660769
46,138.37317810148372
47,85.76504495468781
48,71.47115622322906
49,94.89654409282996
53,96.72830190918074
54,46.07965108638998
56,137.57727587502305
57,161.6033907557862
59,125.90589739981579
61,116.91299181188816
62,163.6421530170285
64,101.08528077707133
65,116.86801069038115
68,42.62352624968806
70,47.33371352992374
72,109.99171756440585
73,47.683056950575626
74,139.30477087120096
75,31.246516409826125
76,137.49572388106043
78,136.88402990894073
79,159.84469823474356
80,61.329504718422356
81,135.605848932494
83,11.087746040283134
84,66.97619905908431
85,82.24700595604145
87,102.03829635216591
89,41.261631324320376
91,153.09673428142523
93,97.73865269563109
94,141.10282546878298
96,114.94825591725085
97,97.61933824792766
99,35.969590961326986
100,42.46235172965167
101,83.68851562713141
105,146.91455838610653
106,64.4727050368177
109,41.63949237880368
110,105.80343820227145
111,59.77666134095349
112,25.55983718950234
113,113.12131390535963
115,45.099262085858335
117,145.02857006134954
124,15.403695923424662
127,162.2451262432039
130,54.610273981619414
132,154.61842955656593
134,58.71279910438213
139,91.55492602190604
141,140.67379863226307
142,46.82904668775563
143,48.98098093253628
145,174.95758981490647
146,56.1664214985476
150,77.94094956724196
152,141.6560162531398
153,160.37940936524757
154,142.93451854086786
156,65.03526997427156
157,26.165760238877095
158,114.51523769945396
160,146.5649292342777
166,88.67416020423575
171,43.28523897267984
172,156.60369778706132
174,133.15102005254786
176,141.92426099375157
177,42.33276419344403
184,36.00934427930821
185,134.33058560692575
186,84.1715447098234
187,151.78649177151067
188,43.37569881633005
190,98.14557474333242
194,149.26975914115317
195,124.44578034359598
196,91.15125475556442
199,70.3253252245406
201,159.70865659862946
203,144.91715987265115
205,40.2006929935473
210,84.1239979452889
212,34.2877790503686
213,133.30993266894183
214,120.67128050865972
215,48.14602288737529
217,116.91347930420083
218,94.62516850814997
220,122.98988902936405
223,148.23092840957688
225,88.6075712221704
226,81.50638069587386
228,114.2331103991097
229,21.077666078741668
231,53.15619305292387
232,87.0587533340955
233,137.51196835121317
235,16.665870089958908
237,150.06884171252872
239,15.647394126601474
243,50.757989237711904
244,57.7724587597673
248,111.60886232232325
249,86.37232532785275
251,43.74922025545018
252,62.875325159167836
253,107.05261480380881
256,43.288586501010776
258,67.56453890012175
262,144.2234483211619
265,108.4993484544264
267,28.303384698061354
268,25.378782713820193
271,145.86367870179413
272,85.6227013985437
273,29.512353102723786
274,146.70324634991448
276,147.7055631312787
278,110.38714173709604
280,148.82856090232238
282,26.632356150906094
284,150.20927525708626
285,36.461131688119416
287,161.78009451083855
290,104.86665964093454
291,25.07725747204821
292,30.46868120028906
294,147.26903941825702
295,120.27522409661618
297,119.67349513368558
298,55.7655981139743
299,18.904908176505973
303,63.78556919836127
304,44.39176799590566
306,18.710728278884606
307,53.16765273860589
309,55.515752889992285
311,140.80092655224948
313,44.83621696727834
314,156.6623750855672
315,53.588313875062035
318,15.430266840250328
320,67.64653792197176
321,94.72085628098237
322,86.42634654311674
328,106.39543388799015
331,35.77170459168167
333,28.778616629480112
338,12.357258806212602
339,118.15290916004837
342,43.69042439812028
343,19.389753749357958
344,93.7705774271203
345,43.291510452251835
348,106.74732298731848
352,58.68649921553694
353,42.44944391130118
354,36.953912743548926
355,58.155973363807824
357,147.95094412538833
358,69.54431905625061
362,29.01296378060302
363,51.531552912629174
367,114.34361372741309
371,114.92657829389094
372,154.65353515630053
379,66.07108023457064
380,149.4350296471664
382,79.00187004233827
383,95.95876782382489
385,13.250793854458367
386,81.38246172526566
391,145.0754418017916
392,126.16086150081577
399,74.68186936129742
400,53.00669638428181
402,147.1298084269207
405,125.11357546434378
406,155.8938337859651
407,65.77532583567434
408,38.23717000446998
413,21.385155287247244
415,163.75195902417337
417,104.07777766696174
419,43.34948871722259
425,150.6574162144821
426,118.88576976739583
430,156.5103838128308
433,115.61407243091199
435,128.72169053345326
436,122.4245109559386
443,21.139922285586987
444,83.8562210796793
445,39.97301729803086
448,56.428235132527206
449,94.42777606821413
451,86.24977063274038
453,134.60457893253715
455,128.25178798338155
457,146.80502443232257
458,40.481114465661214
461,46.736424670593834
462,58.30522846499122
464,32.221445877604644
467,96.89118924257447
470,95.84067655105252
471,66.01684151750112
472,92.08457575461377
474,115.11233424501633
475,117.18551949908249
476,102.03645718801873
482,137.4720085491744
484,106.84984423574254
485,11.144186042529304
489,144.79653936970826
490,144.13358829609513
494,47.61175996533599
495,127.48590656335287
498,32.90643293421645
499,148.39514391487018
501,83.68148351230403
502,86.74872963634506
504,99.15813446800057
506,161.16704796015034
510,89.2865224045923
511,159.76106493123874
514,145.10229694636047
515,31.908448279756236
517,82.89071634435861
518,50.09605156617576
519,113.21923428486083
520,130.15645530758144
522,14.854860724673136
