Event,Vx,Vy,Vz
0,-0.2562047693346559,0.0455191355006765,0.0492440322715246
1,-0.2055950861429004,0.0445018351763514,0.2381362795886245
3,-0.1516684278364057,0.2520799817577896,0.0140876628657321
10,0.2588614568658986,-0.1494658570750142,0.0729704703905754
14,0.0994816824680389,0.2113260093636531,0.2138455108131726
15,0.1055919812759093,-0.0994962685922566,-0.2812345251174092
16,0.1989218867494805,0.2261205823543557,0.0323733502417172
22,-0.1575357044817435,-0.2506953922665408,0.1008310373269502
26,0.0858923420046264,-0.2726193839081668,0.1939251609290073
28,-0.0051496187268774,0.3028565119952844,0.0865314023128069
33,0.1814644236282518,-0.0970208168038425,-0.2520502163772361
34,0.1406409585836867,-0.251011486879586,0.0663822630220857
40,-0.2544296209942526,0.0455575166591251,-0.1368459017510777
43,-0.1516868171489024,0.0313155893848034,0.2515974900651046
44,-0.0103362308578458,0.0143379505147439,-0.3081183748066695
47,-0.2028829335370117,0.2344072015192978,-0.0844004605587172
48,-0.1897467432221658,0.1783240287572722,0.2067578760191943
49,-0.1053922687478421,-0.2734683380219306,-0.2296318444572839
50,-0.1233662865525647,0.0874623618672061,0.2830358159263519
51,0.248406879142248,-0.2144456959544331,0.0168998803496983
54,-0.0092179167242555,-0.2481909582966058,0.1773451562189442
55,-0.2013234999803532,-0.1439061889900378,0.1797330619507932
56,-0.0873464950687315,-0.2604116579135524,0.1403157937231054
57,0.2880517090477621,-0.0685339521201913,-0.007655404588481
60,0.1823443693472228,0.0157032998050811,-0.2789697399584147
61,0.1528463130670125,-0.1208409101828052,0.2435585969716623
63,0.1273136494624066,-0.2893689479681351,-0.0282640371237254
67,0.2814834553144552,0.0844775302161052,-0.0194566498542626
70,-0.220455255441594,0.1389428944643904,-0.1460476948653585
71,-0.1883421508543769,0.1191357731214813,0.1900014479962218
72,-0.1294054583948391,-0.1477398257567186,-0.0445296400781398
73,0.0524712041193961,0.0701361982769244,-0.2731595467998202
75,-0.1525014402629952,0.2311947488400774,-0.1219895800172434
76,-0.1430727089553588,-0.2751439976164146,0.0212113907491092
81,-0.2821425021136914,0.0324219792766094,-0.2598698530703345
82,0.3036999432913617,-0.0141428018146444,0.048510327573809
84,0.3115033977808612,0.0922744645914816,0.1348376865157528
85,-0.0589873865171327,0.2427057010974605,-0.0493032088773925
88,-0.0254972269685909,-0.0613099573590348,0.3240922102748025
89,-0.2912702206504618,-0.0064669288547785,-0.0293327951733436
90,0.1192021747116472,-0.0394946184590342,0.2267055043714032
92,0.0390165011373409,-0.2319467094657787,0.1579994450371359
93,0.1412075385902277,-0.219387311980119,-0.0456840204476385
94,0.2561308528721328,-0.1433908050759705,-0.054378695462614
95,0.0437721004302692,0.285392690395481,0.0625016752109342
96,-0.1227002899214848,0.2093239239003601,0.2071357259557659
99,-0.3841268232492981,-0.2792690880148214,-0.1771122546375869
100,0.0323025997822171,-0.008640777187413,-0.2966711864396033
102,0.1347952957447028,0.3235592985932646,0.0398980813491449
103,0.1041522781532107,-0.2408384176382259,0.1439740330700874
105,0.3069011704816444,0.0764909730582585,0.0182355367761003
108,0.1568149621160671,-0.013009837618277,0.2884789419502269
109,0.2572517783875447,0.1140540574372265,0.0849595665213924
112,-0.1429222684480634,-0.2549524071364529,-0.0784733406659335
116,0.0640269652547424,-0.2170691012322872,-0.1617213561088557
118,0.2146397173529541,0.291205827010783,0.2637431250135302
119,0.0982867692187078,0.0314884179793721,-0.2218228022519605
123,-0.1445738207393538,-0.1477754034261682,0.1951563775875945
124,-0.0226698671849366,-0.3000578360759677,-0.064014989532201
125,0.1941004214962618,0.0893153036272041,0.2058148526741641
126,-0.2320412197356833,-0.1881855263469721,-0.0502674388773054
127,-0.2967463761292927,-0.0538021916378475,-0.0592756607389935
128,0.1129305420169966,0.365804917148245,-0.0361779333180377
135,0.2178199235269458,0.0288630919572439,0.214785544483135
136,0.0759660112379058,-0.2622559015609959,0.1422884941862289
137,0.2440515901910345,0.1389385521476824,0.0988269136742575
139,-0.2636544085047496,-0.1491229815540017,0.0380504357058949
141,0.4097879461285696,0.2144069864314542,-0.0987992526057794
145,0.0129888547325929,0.0498125480778639,0.2274491673026869
147,-0.1427878882924707,-0.2620813931679479,0.0229335231235727
149,0.06337393333168,-0.2756219278775769,-0.0944175925011074
153,-0.2277968925573253,-0.053675201665928,-0.2059266825109174
154,-0.1680529925613512,0.1263464318461517,-0.2761758470186535
158,0.1609507184493513,-0.2663632469925525,0.0242035273598275
160,-0.1594779293866354,0.2353431750453716,0.0843413021757637
161,0.2589206476553129,0.0043414635758747,-0.1666080220488595
167,0.1308855102268316,-0.1188410802035828,0.1683815672211655
168,-0.1150255067789005,-0.144689037476401,0.2374419965732114
171,0.2898723765299836,-0.1915977011146931,-0.3598455942625202
173,0.2836878105192131,0.017935324452628,0.0293846481231531
174,0.0834212274996618,-0.2392310828584814,0.1296819913007513
176,-0.2092573273376202,-0.0105540535901282,-0.2027383530876335
177,0.0618081551181488,-0.0869770879473431,-0.3004868361410421
179,-0.1619272187268482,0.2041002047192676,0.1537573887867011
182,0.1964825039990438,0.0935997418253532,-0.2157039485219944
186,0.2051241669176237,0.1668338331847813,-0.1894662869429612
193,0.5828132985393158,0.047424644771999,-0.3270412639760625
194,-0.082547616869111,-0.1420038080691907,-0.2256357503515465
197,0.0144521157178069,-0.0409617163561074,0.348349646805541
200,0.2613087092690358,0.0886526558129501,-0.0273843107073002
202,-0.1645688932442257,0.1962734428566201,0.1622604608950323
208,-0.2852445999436622,-0.0591265017058202,0.0031823091466343
209,-0.2615870816164971,0.0939984394135425,-0.1258413712577111
211,0.0348660458805739,0.055238846470628,-0.2802443601502519
213,-0.0374375998530063,0.012334990917902,0.3261485928687793
214,0.2804707165359541,0.0724865894663994,-0.0642762783616481
216,-0.4655068794197804,-0.1313793532610631,0.1909503673687351
218,0.0236424016310129,-0.2318326513706657,-0.2060387344765936
221,-0.0807580488429701,0.0210690532375249,-0.2834029256444174
223,-0.1890137541089963,-0.2285869342610723,-0.0670070463930256
224,0.0357846334296814,0.2769786743693919,0.1376413155889342
229,0.1831149009980046,0.3939356032799146,-0.5082904801323829
230,-0.0056909128640206,0.1782272323413609,-0.2683133456694381
232,0.0655103157179557,-0.2189893538602389,0.1954214152231089
233,0.2737547648490084,-0.2522722093373099,0.1793961338822513
236,0.2989747021149004,-0.3249325157326044,0.2326697509994771
238,-0.3016190928233366,-0.0873801954901575,0.0316503462435551
240,0.1272908018387112,-0.1030084196977678,0.2818527333061784
244,0.1544147499576509,-0.2186467070725708,-0.1419791085941147
245,0.0397333800732069,0.1716198304933126,-0.2476921283776147
246,-0.2661525909091968,-0.0271040166529322,-0.0519320704283658
248,-0.2747232145218387,-0.0541505747277047,0.1307547174635295
249,0.2812772910386793,-0.0741732652437823,-0.0341077517577727
