Event,Angle (degrees)
0.0,145.27468377567274
1.0,45.370182060723295
3.0,77.0841786661872
7.0,150.22961820803525
10.0,47.39704236487785
11.0,117.57744136495046
12.0,137.84845359583736
21.0,102.37845395538675
27.0,32.17732006998297
32.0,125.46781436386483
33.0,23.930424152705488
35.0,82.25339349175417
36.0,64.06912903552286
37.0,123.88247333673951
38.0,127.80843841246488
39.0,46.56143961462063
40.0,113.1947923712288
41.0,26.794555563594777
43.0,132.61698763534363
44.0,90.87963626215479
45.0,163.99850723306298
46.0,105.68746064672924
47.0,41.183716092929295
50.0,157.4465841400796
51.0,43.24301282085761
52.0,155.0057042705278
55.0,20.928835009634714
56.0,112.09603887554563
57.0,119.48709985665737
58.0,103.48631693308606
59.0,129.42367964684993
64.0,28.37882370753651
66.0,77.71915634793334
67.0,30.74646282555919
68.0,10.281833874087065
69.0,124.90125009175108
70.0,56.581582045770745
74.0,114.45735794964575
76.0,53.69880499199585
77.0,64.94380081526408
78.0,111.36017987505616
79.0,60.78898271666863
80.0,74.47162561099435
83.0,55.88673498813664
85.0,63.237153660061836
86.0,48.58413442003197
88.0,114.10295824446509
90.0,99.60200218167148
95.0,100.41341881721279
96.0,112.98779225316778
99.0,89.56954450450291
101.0,49.86246906575653
106.0,64.12112180225948
107.0,6.901750604711533
109.0,129.13542409658152
110.0,18.259118883615184
116.0,98.54651401178097
117.0,54.93146535082801
118.0,36.672489215109096
122.0,56.38009541499857
123.0,100.16296329598721
127.0,72.1546495480393
131.0,149.39630545348487
132.0,140.82116497074813
136.0,78.50990054328234
137.0,85.71528901059311
138.0,76.00204009030561
143.0,113.60691928550015
144.0,143.87627671332254
145.0,21.316455313140008
146.0,73.88513710242943
149.0,76.47291084487429
150.0,124.796404297156
151.0,148.01427717155337
153.0,112.7174616858669
157.0,132.31668659422394
159.0,111.50681210061768
162.0,146.48706549758774
165.0,64.21660823547282
168.0,126.0414237833151
170.0,144.02328605741195
173.0,162.23169192693754
179.0,106.7426923446497
180.0,71.8906007851294
181.0,16.02307402320634
182.0,85.93556080379042
185.0,52.38123204613007
186.0,89.59156014340951
187.0,47.87081502068038
190.0,153.9574009908481
192.0,98.2043623004626
193.0,82.66844834682277
199.0,49.537656092711494
202.0,112.14006525634083
203.0,84.05193001658853
205.0,54.252973607813765
206.0,50.28228260316055
211.0,168.60121283149775
212.0,41.689205094303865
213.0,147.99106621882697
214.0,78.51134878324059
215.0,50.22773488092612
216.0,77.99489559698151
217.0,51.691002579112286
219.0,124.45725672901294
220.0,76.25431908283832
222.0,37.927132400786434
224.0,15.014629326402774
226.0,63.56885425092218
229.0,56.73791363296568
233.0,100.99795945298271
234.0,63.302494253291904
235.0,102.4854598852549
237.0,164.80683189869703
239.0,51.368320817515276
240.0,16.33812965081909
244.0,137.34775844628427
246.0,136.6182807123566
