Event,Vx,Vy,Vz
0,-0.8000458084578786,-0.4892044373168452,-0.3472833418031461
1,-0.1199710343218421,-0.9463445646327746,-0.3000647269215592
3,-0.6804536037329749,-0.5105472984635415,-0.5256657157811767
7,0.9895577196091446,0.1368642287062698,0.0452081768251114
10,-0.674825487398446,-0.3972311362619184,0.621946888095363
11,-0.6163166619243068,0.3255232342134985,0.7170694100595281
12,0.0507031063379525,-0.8804691819144963,-0.4713843667425283
21,-0.5397309004935302,0.82237270473511,-0.179982374864406
27,0.7356890403422692,-0.2315638007180059,-0.6365059424492319
32,-0.7215459425551967,-0.68736305101876,-0.0830873223584929
33,-0.6373324098875713,-0.6886921905122918,-0.3457029058114487
35,0.2519240987106789,-0.8793488671293226,0.4040789105211734
36,-0.4799685176751536,0.1562975710090956,-0.8632504321946676
37,-0.6406185879573383,0.2591791393161498,0.7227959452320659
38,-0.0236333609314499,0.8222434022394728,-0.5686451842364023
39,0.5515584223388204,-0.0619170570395285,-0.8318350755648095
40,0.2924290298019186,0.7666523361116511,0.5716025144564459
41,-0.0587651675910598,0.931294503389316,-0.3594956882620244
43,0.9394844581825889,0.2399886573765116,0.2444879558551015
44,0.4122763593006073,-0.5168498312446562,0.7502629246361934
45,-0.6921989176752884,0.2363744054208142,-0.6819000773601153
46,0.3569875332987065,-0.8515776627080989,0.3838950032559138
47,-0.330022622021307,-0.7921712053363145,-0.5133710973400339
50,-0.1647449840456499,0.293764682847875,-0.9415739581402748
51,-0.6761292163679314,0.2869228166501239,-0.6786196104230301
52,0.9445671244730596,0.0008830158681335,-0.3283172211287682
55,-0.9852841414410792,-0.099432060417398,-0.1390269949416114
56,0.2172624650396665,-0.6114946699031293,0.7608359580408988
57,0.3279771180771828,-0.2460787782447119,-0.9120725305414688
58,-0.9731239720888856,0.2266248988477242,-0.0408767801385812
59,0.7924101978578918,-0.3128567412040889,-0.5236476461786208
64,0.3571918001168393,-0.9064676318902164,0.2252341996355326
66,0.1456748081442895,0.9073512108035784,-0.39432554776861
67,0.7446177833653446,-0.6674817846565193,-0.0035350247894698
68,0.4855731595187433,0.1624002969684351,-0.8589789579840972
69,-0.6279260416669852,-0.6877415671324465,-0.3643082777929975
70,0.3596721616757214,0.6112898134715471,0.7049544532003361
74,-0.0140539320066567,0.998180543604922,0.0586350821661008
76,0.8758741605738324,-0.000352897211442,0.4825395747428466
77,0.3164465482993465,0.7182439117573074,0.6196670706475239
78,0.5482888978930204,0.4102294623691527,0.7287599968317329
79,-0.1624225224921879,-0.6490573408172823,-0.7431981732576659
80,-0.8986239542997485,0.024261680815797,0.438048269772522
83,-0.7900234633491297,-0.5902370515146913,0.1657802625180711
85,-0.0976247972355349,0.4747711330582861,0.8746780650629443
86,0.2320916476642451,-0.8418579459928369,0.4872459638926622
88,-0.4081794537289159,0.912841291182506,-0.0104973129733968
90,0.8806955583111378,0.3387802948412485,-0.3310637714423237
95,-0.1523842289943842,-0.6610071450930878,0.7347439416943261
96,0.4285099732182379,-0.2525621522909881,0.8675203493100809
99,-0.2088657419910711,-0.0694875534988951,-0.9754725505154672
101,0.9753126951517262,0.1921562341932059,0.1088162306868587
106,0.345110959391646,0.4630470012302241,0.816385781919687
107,0.7991768200939572,0.1526658355564333,-0.5813858049150499
109,-0.3480959030398523,0.672234359287539,-0.6533989387468196
110,-0.8269924492798605,-0.526032293980209,0.1984275893123182
116,0.9343882584130232,0.350265880716622,0.0650577397848756
117,-0.7359909821085835,0.6009548671404872,0.3117217788978297
118,0.0276878530675399,-0.9996117933143812,-0.003086117416589
