Event,Vx,Vy,Vz
0,0.0990672871496664,0.2399853872260816,0.1758807812197713
1,-0.1314419090491335,-0.2567630972949938,0.1256798282267247
2,-0.1200701864691121,-0.1837748749290603,0.2059295810291268
3,-0.2501510395374467,-0.0901528086810447,-0.1542985680789518
4,-0.0105912506707402,-0.0276373206985433,0.3125347199026612
5,0.2696751044351854,0.140692201899233,-0.0293732749358503
6,-0.0823795816872038,0.2863247296588729,-0.0642953024864439
7,0.2615352727772825,0.0823587889071788,-0.0707122845129719
8,0.2511375785236232,0.0728505137322203,-0.1173800359602345
9,-0.0101960750764665,0.2486811289606343,0.1811864546947203
10,-0.0973911308608173,-0.2825351907597657,-0.0678895675137019
11,-0.4133313357692929,-0.1134067230347776,0.1639798688286067
12,-0.1948319497082448,0.1846223209845038,0.0057566173397638
13,-0.0253713490226529,0.0813597147540734,-0.2701473968520844
14,-0.0106071139688523,-0.2956534996793216,-0.0928079425230621
15,-0.0042699549087045,-0.1107577326349724,-0.1463065992096268
16,-0.0606120173592196,-0.3031854912888429,0.188233884112096
17,0.0493744996115914,0.2103275803378797,-0.2081998236887146
18,-0.137223233253058,-0.0152456278870518,-0.2509393714408469
19,0.3689785838310494,0.3420086743927374,0.0225448690122645
20,0.1572989356450319,-0.0164371917314919,0.2411122499193598
21,0.2139371567537301,0.0997834761953167,-0.1918473665185788
22,-0.1013983322614774,-0.0640283104602543,-0.2725779457295845
23,0.0026696750265626,-0.2039163838240324,0.2600654785164656
24,-0.0618138218539625,-0.0622743360550146,-0.2908629199860069
25,-0.283572839255561,0.1240486185637694,0.0500477404395255
26,-0.2812977619262444,0.0670358021967463,-0.0909252459440938
27,-0.115639085525555,0.2700018308860649,0.0970814749093887
28,0.030945498425271,0.2783440129294197,0.0957644475128332
29,0.0009320880178054,-0.2999996777286891,0.0474259235519932
30,-0.0785680576707369,-0.0631688196911238,0.2817353796085898
31,-0.0006165961221641,-0.3013028266387296,-0.0291616311235742
32,0.3054838080129842,-0.0118219907484468,-0.0855948785964837
33,0.0923279323544875,-0.2623357585179716,-0.0574071210760349
34,0.1270208103094237,0.1006400773459441,-0.26426059848759
35,-0.0692655987612579,0.1975937994708475,0.1788335160927253
36,-0.174609242966963,0.1327898022697142,0.2126017898146998
37,-0.2622706110724381,-0.1281102249160621,-0.1255689959347092
38,0.1352664175505889,0.3120948756946621,0.3850897347304604
39,-0.1063527175467552,-0.0118962801469359,0.2607031460747295
40,0.0604887333484451,-0.301124532567966,-0.030251220706674
41,0.0528901839204509,-0.2967907521506988,0.0472590629506263
42,0.0873211669754662,-0.1274231536478573,0.5144910491893963
43,-0.2254644284865881,-0.0554643284637933,-0.2108633053608931
44,-0.176482472635636,0.2462200087064634,0.0026176972032275
45,0.2668655183881308,-0.1109295619346803,0.0936965208581634
46,0.3191999324037641,-0.0015909832895429,-0.0391449232443934
47,0.0203091230600879,0.0833340471600546,0.2932389546835705
48,-0.1046377517589037,-0.1429994721645043,-0.2198050742022123
49,0.2009940622479042,0.1106643127149563,-0.2058212455793039
50,0.1857171879756264,0.2249398048033256,-0.0580795154672712
51,0.1806024917199883,-0.0151991900533237,0.2533235713938083
52,-0.2112934698856531,0.1420223145792251,0.1734727662207774
53,0.4494062612015326,0.0965556656114142,-0.2520322888818371
54,0.0639618017632285,-0.268671209222148,-0.0408159500481292
55,-0.2075858647785901,-0.2537667881045332,0.0476936911626629
56,-0.2434419455119637,0.4223234996180301,0.0902290235192642
57,-0.209735567860852,-0.0732179192513653,0.212202369530644
58,-0.060307447777936,-0.2478034220037338,0.1692823304146603
59,0.0935250601644175,-0.1315690282057719,-0.3269418443669331
60,0.0322221114367941,-0.2581479300257181,-0.2205763088664539
61,-0.1787729312168602,-0.1797175997573975,-0.177690184207468
62,0.2076634398959316,0.2111348470085189,0.2736198110459651
63,0.0484905708826291,-0.15649671567772,0.2977302096317114
64,-0.0210451513631064,-0.1498042867550632,0.0626590960312487
66,-0.1591076310046074,0.2353096547695156,-0.0582768502757245
67,-0.1394287459048779,-0.2617525412868086,0.0106344570587589
68,-0.24632019452249,-0.0694037432528483,-0.1422239076731471
69,-0.0937085665572269,0.0423102990240372,0.3238414377358645
70,-0.1026820341268436,0.1218285999555407,0.3393534307726661
71,0.1412065493337689,-0.2721412589139491,0.0123255394372953
72,0.2147708580016376,-0.2022480432826667,-0.1025158726846769
73,-0.1050336596630139,0.235330250995536,-0.1868037071090338
74,0.1571585540955097,0.196203438320805,-0.1859535173792852
75,-0.3682697276569954,-0.1908045916606669,-0.1312177679855516
76,-0.0875293475315876,0.2659609036136528,0.0146709793266308
77,-0.3372719390053541,-0.2618232204238663,-0.0605191953111575
78,-0.0359984977909462,0.1054158879444939,0.2818453725192932
79,0.2052190199124555,-0.1184196218620132,0.2354254601946301
80,-0.0984152280637834,-0.1358587423958357,0.3429705178126995
81,0.1639132615063962,-0.2773476676930574,0.1015306513211306
82,0.3150277560842947,-0.0117279603808672,0.040869426974588
83,0.1745577759869087,0.2956390740996948,0.0364835246999667
84,-0.2088508452761791,-0.1994952474208705,-0.029885281007774
85,0.1605396720186792,-0.1832756121817373,0.1735943215898622
86,-0.2121601388776033,-0.0747557826608,0.2395870382957894
87,0.2849458147050544,0.003469438749865,-0.1034426248480116
88,-0.2409003028473392,-0.1895325247833129,0.0126324084738232
89,0.4374971310172818,-0.0797702023694279,0.3877814575160068
90,-0.2717907656545092,-0.153825155554363,-0.0495367230245039
91,-0.0576816156947464,0.2512198695659405,0.1611269836684039
92,0.0583103597877184,-0.2486744553644637,-0.1256973512316719
93,-0.1213892858161758,-0.0687701197915497,-0.2760549277751278
94,-0.0564954014970786,0.2705282277438576,-0.1625137861990746
95,-0.101963172686293,0.2375978868368539,-0.1571424894461095
96,-0.1018386063525769,0.1831093581621267,-0.2175630839116158
97,0.2677849004264222,-0.1283683646475939,-0.0040483733853021
98,0.1730200165813891,0.211680982546069,-0.1228539369375708
99,0.1454798316928452,-0.0536422021017138,-0.267542383438801
100,0.2874430099657194,0.050630339683868,-0.1284100442525533
101,0.0922032409375183,-0.2646378985846538,-0.1330615891685656
102,-0.042027608046411,0.2684566813829204,-0.2537245964612335
103,0.2417652703153982,0.1610535240755811,0.0394801715523135
104,-0.0622004339415139,-0.2266474747863899,0.0101046139769925
105,-0.2960107711186658,0.0316135024587651,0.0653345591388584
106,0.2340634426692846,0.2179657179097584,0.0760572189991439
107,0.2291222630429855,-0.137352399447278,-0.1281323221722149
108,-0.3004825445935827,0.0678863138640835,0.2436656166458226
109,-0.2469046103579994,0.1325334599464072,-0.1261276626506831
110,-0.265304261460283,0.0597248623523253,0.0868144115640366
111,-0.0050730363563675,-0.2589594595514258,0.1105804254948332
112,0.2489436779682208,0.1634841621045953,0.1096880745305157
113,-0.1219031586295061,-0.0114541269871764,-0.2864595228174829
114,-0.3294140600263749,-0.0485895743938603,0.019773809595514
115,-0.1362480061498827,0.2313265781274941,-0.1419605070868312
116,0.0905694269346542,0.2387209059442101,0.1464821391976835
117,-0.2072243864788563,-0.1059270223768535,0.1887758768809003
118,-0.0652332448903202,-0.2544715253787908,0.0898316593494857
119,0.1495102774189348,0.0256866523560882,0.2413767097984125
120,0.1785507848124264,0.253693587758276,0.0019591177735647
121,-0.0901438149110196,-0.2831152416828129,-0.0240512300139324
122,-0.2236209329375397,0.1244385458835158,-0.135073809943527
123,0.0559232512333756,0.1469963688745403,0.2456167359257524
124,0.4707941351400752,0.1513115401964908,-0.1430305717939797
125,-0.1420625221314911,0.2571301567613416,-0.0576026802053564
126,-0.0016909697508368,-0.0562729554158443,-0.2925124102330109
127,0.1713575496057376,-0.1384346921369636,0.0893147662150667
128,-0.2657394382200805,-0.1037324510173315,0.1180069062868609
129,0.034291567479107,-0.0391773258727611,0.3905737656796323
130,0.2579227735335123,-0.2078646010852622,-0.0280599974431123
131,0.2156884453201344,0.0171446438697881,-0.2182309758243964
132,-0.1189980260477486,-0.2719285994239305,0.1236752531546171
133,0.2761695943308809,-0.2079713026070195,-0.0982141686657179
134,0.0112315179209529,-0.1572561212176743,-0.2298414498069165
135,0.2430583154770226,-0.1683252763356235,0.1285597370675057
136,0.2203450932636801,-0.0960984811833991,-0.1976929757103148
137,-0.3044341481108877,-0.0398613552148235,0.062704998687351
138,-0.2576662599329475,-0.0760168527808767,-0.1285781028549411
139,0.193412883753443,-0.2203093288916504,-0.0061641267509569
140,-0.0548065131281558,0.0658314568943344,-0.3302688581607763
141,-0.1243971738930241,0.2598923323617734,0.0459388884307216
142,0.0582573896724714,-0.0242340808819351,0.3334194125571194
143,-0.1887246994351896,0.2435092041438643,0.1195826020417236
144,0.2432411867132141,-0.0347475789979451,0.1493988743078178
145,-0.1491914399879719,0.2404703044628457,-0.1511588214736738
146,0.0356301800102724,-0.2698230368505063,0.1139244292157677
147,0.2264074035359559,0.1810805007184608,-0.030914913891125
148,-0.2924514149893009,-0.0244649143950827,-0.092411797124607
149,0.3774626040779167,0.0968653418996564,-0.5265935480429785
150,-0.2867877470230527,-0.0996639721296502,0.0473406660268035
151,-0.2151434409265289,0.2232670579613231,0.0514637732103916
152,-0.2376742959838225,-0.0948351321114265,0.1701884198741367
153,0.2318064621646983,0.1539216013127317,-0.1903794254137911
154,0.308771694488068,0.0926225176370007,-0.1722629509346046
155,-0.0845186835598846,0.0889119982417473,0.0709105086187619
156,0.2310231205617989,0.0973102607131793,0.1262264300048204
157,0.2075463752573891,0.2143458025270465,-0.0309020308505074
158,0.3495040936039817,0.0192048389126909,-0.1149803400601228
159,0.1809389684000852,-0.1635296551677449,-0.1564019075287567
160,0.2717943869182645,0.0254927923700953,0.1152972934694972
161,0.1987936383638081,0.1097470371653718,-0.2153227825338843
162,0.2199423605898052,0.2148888764160216,-0.0862792261693568
163,0.2784768262406084,-0.1543124770897089,-0.0461287668471309
164,0.1747027038550679,-0.0365520775778272,0.326888444010493
165,-0.0427715507109759,0.0774376216965061,0.3244204770984241
166,0.128486998197002,-0.2315542669732297,-0.1762728609903914
167,0.1773500234803388,-0.0964984194589637,-0.2130888125264687
168,-0.1100055172413793,-0.1122554442486786,-0.2783149861565567
169,-0.0442831229277282,0.2914780802348968,-0.0661665867654686
170,0.1432914228986338,0.1990986140376747,0.1385420680030181
171,0.0506708573205482,-0.2424650648336645,-0.177399932552444
172,-0.1836500074232748,0.1193002549168268,-0.0479557096863686
173,-0.1549765021562507,0.093074013956192,0.349145165382848
174,0.2642676159984033,0.0535294270181583,0.0995604128351515
175,0.0148278574682771,-0.1407443155208859,0.4696250259725184
176,-0.123913251527871,0.3166804904074282,-0.0085041631238218
177,0.0426596971388381,0.3141891736769016,-0.0417868606558162
178,-0.1690179983222465,0.1704119060135721,0.1705171211280166
179,0.0420879219204285,0.3442181530852611,-0.0684170004415452
180,0.0097924447146615,-0.2924643102621854,-0.0554992414452875
181,0.1213329720977214,-0.1117451640803365,0.2010487676535928
182,0.12961190371703,-0.2681700400972051,-0.0954701968787751
183,0.2838562363121458,-0.1098180588257368,-0.0480319280802312
184,-0.0911676789851048,-0.0131970993139429,-0.3028077875264262
185,0.1806079149863688,0.2006578042984099,0.0973969693132539
186,0.0632404001313105,-0.0930405017172652,0.3001293117309774
187,0.0125938431587241,0.0042484079549881,-0.3302510955622289
