Event,Angle (degrees)
0.0,107.45584851954492
1.0,29.41335462802781
3.0,154.82130845649033
9.0,155.03676682890284
10.0,39.0052417984118
11.0,127.48586511203798
31.0,117.2535283216992
33.0,74.89638224756655
34.0,49.941704759730676
35.0,92.12655388741636
36.0,136.49996571959588
37.0,54.46759754467044
39.0,64.67991616881676
40.0,158.76016496074232
41.0,53.15156550502292
42.0,59.45146070641754
46.0,159.18145213310265
48.0,60.40449788138743
52.0,90.55007519758693
53.0,153.63922546518924
54.0,110.93784912004091
58.0,107.80045482964753
59.0,105.3583202032646
61.0,65.45396090690782
63.0,92.11670772402745
64.0,95.88305978314895
68.0,106.14852535482875
70.0,91.99386918866084
71.0,59.35287880349749
72.0,45.41059115344431
73.0,105.04452929985861
74.0,132.65262661689235
77.0,24.044083241332512
78.0,87.9492411704508
80.0,17.77211652249599
82.0,153.6781807359461
84.0,16.97873615001555
88.0,103.55936407769936
91.0,116.24529889598185
93.0,168.57401536655533
98.0,135.994066480619
99.0,119.41209584963477
101.0,46.2398223112091
102.0,74.82886188350986
108.0,102.80237825753647
110.0,131.4468046342593
114.0,51.75911787993725
118.0,108.28065755883412
122.0,50.21466527490889
123.0,53.302971152064764
126.0,76.15926572820437
127.0,26.02529290632748
132.0,139.9470009907437
133.0,42.464561502965616
136.0,131.38018055313873
137.0,120.1076922355187
139.0,105.92489186503465
140.0,115.6731604428766
143.0,138.00830922695562
147.0,56.91819552464938
151.0,108.07535416987308
154.0,120.59389912599964
157.0,109.86961157860887
159.0,96.720209582087
162.0,33.156042132144755
166.0,84.78189662263516
167.0,144.202786745153
169.0,71.3667328609387
173.0,39.472934928047465
174.0,94.49391754039745
179.0,77.98375565797696
186.0,97.35704046298324
189.0,99.26385755309425
191.0,108.91624598546764
192.0,146.381285065662
196.0,13.665984585407733
197.0,14.19179313204768
198.0,85.55370680906799
200.0,100.09292787196587
201.0,118.38660084016851
204.0,139.24496067875543
205.0,145.26932102405996
208.0,71.94552216455914
216.0,98.23171761918661
217.0,21.502159383001736
219.0,175.60344429117458
221.0,106.01633630922647
222.0,88.34018297053966
226.0,29.543284563309825
228.0,145.93572070235882
230.0,51.05353959834438
231.0,66.32206443577854
232.0,104.36235865753333
234.0,128.63198421328065
238.0,42.55320449455581
239.0,87.28827367983922
240.0,137.95568572248948
241.0,146.1115547609972
243.0,101.61609835333647
246.0,105.20721968813405
247.0,167.52268019700455
248.0,113.91407980388585
249.0,36.03526888658004
251.0,136.81347100938652
254.0,116.6394290783308
256.0,95.75697638459225
259.0,78.70720850718949
260.0,117.31999428302915
261.0,101.97753971207679
264.0,33.94254785079102
265.0,90.66110980496666
268.0,100.25257024174479
271.0,99.18290932339278
273.0,94.50553794778126
277.0,133.45550147143547
278.0,84.57169691734016
280.0,61.65790619278213
285.0,90.86586194815564
288.0,76.65679390643875
295.0,117.54543537326158
297.0,107.51548255863915
299.0,56.385701289868514
305.0,16.153063259879914
306.0,92.38100438413154
307.0,140.16304028131825
308.0,121.8093945170862
310.0,115.73768176627614
311.0,133.6706012543858
313.0,110.36265592748015
314.0,27.692674049247188
319.0,64.43856956779524
320.0,50.06215390196016
323.0,167.89579629902062
327.0,7.9755298867522475
330.0,51.79468096862833
331.0,112.2389631657363
334.0,108.25985382469717
337.0,109.8583334372754
340.0,69.72972292691215
342.0,93.94315214524919
343.0,88.1918016774771
348.0,106.40782804410803
351.0,75.42868442834423
367.0,77.98705664482816
368.0,140.19789453658137
370.0,53.53907895306592
373.0,19.260686555085744
374.0,127.87166344588178
375.0,21.39091026592832
380.0,74.02765366942722
381.0,81.33076454103865
384.0,73.82205173611553
394.0,73.17664313829538
399.0,24.47973015641798
401.0,62.02060131267505
403.0,49.65366091285277
404.0,44.74549081923663
406.0,63.45303023936683
407.0,46.25046769215873
411.0,142.577495567003
415.0,147.24724304514143
417.0,26.74085292516351
418.0,101.21525349230991
421.0,44.324034874748456
422.0,123.7721305773455
426.0,132.86310774864558
428.0,76.24854083307302
432.0,61.208227694647285
435.0,52.9420919245455
439.0,149.61079117158957
441.0,88.62309785310278
443.0,82.06607246839484
444.0,155.70313173431208
446.0,59.87885680431289
451.0,61.244289631713485
452.0,59.906946461568
456.0,103.02734754320588
457.0,125.0747985341456
458.0,121.93799594008175
460.0,91.26646602608406
461.0,38.648204554319626
463.0,111.11968749470542
480.0,42.02250817277121
485.0,107.16849182709592
486.0,40.27568791745465
487.0,54.76282132845483
490.0,104.28192804706619
492.0,84.84922711373484
494.0,41.805280108133466
495.0,88.820928330217
496.0,46.780372717197345
498.0,71.72639609856064
499.0,147.84416444590843
500.0,153.65815476176738
503.0,59.85858186878724
505.0,54.76428765587447
509.0,74.98281815504943
510.0,38.95780150443622
512.0,100.05846144624846
513.0,23.556341151481075
515.0,147.28694201451938
516.0,98.66730451197347
517.0,95.53655930737422
519.0,103.90335870401717
520.0,42.710368917817895
522.0,117.86161248084368
523.0,88.09171147127256
524.0,101.10676998939742
525.0,98.8705722771858
527.0,143.6699774782271
529.0,100.24284120865275
531.0,43.18077909368584
538.0,21.962463291333552
539.0,109.82956330846353
540.0,56.10831570898179
544.0,132.55531673194585
545.0,14.452194177667
547.0,93.4986316779139
549.0,58.27509667133712
550.0,131.53942687727792
551.0,161.79949052088384
552.0,47.53118316874189
553.0,58.962552733558105
556.0,41.23316756062625
563.0,111.75625945605898
564.0,105.90631404455036
565.0,147.174109546308
570.0,106.66461085742067
575.0,98.23388700812188
576.0,65.66622947928352
578.0,100.38425591522999
579.0,134.1941798656236
580.0,140.99261393293384
583.0,92.85576883214564
586.0,96.58253983935624
588.0,96.87036795696888
590.0,70.0936227333748
595.0,143.73371820153233
597.0,92.55414272477636
598.0,95.3162191399955
599.0,38.45101659886066
600.0,113.97549734947448
607.0,100.60894613730709
608.0,110.23406571023149
610.0,124.91379092276503
612.0,59.89076114047042
614.0,59.22685451616026
617.0,71.60460026640347
618.0,68.32317695272306
621.0,79.7847271407186
623.0,79.72947941063433
628.0,64.70508611457426
640.0,43.23872243050412
641.0,68.11744061612178
642.0,89.7731559352817
649.0,105.56041369872607
653.0,106.76993565901829
660.0,24.857955296317993
663.0,102.23411649046217
668.0,66.18327172424114
673.0,30.19902308220441
677.0,10.081714244932376
679.0,33.4630691124812
684.0,107.04767149427772
689.0,156.77097056552546
690.0,38.78275026313417
694.0,125.16214296731847
696.0,140.49710201808605
700.0,147.6944700949971
702.0,95.73527344042135
703.0,21.858367296912697
705.0,20.573006491642698
708.0,111.15406171112053
710.0,61.39700562763402
714.0,64.18025175866845
715.0,40.645708039729804
717.0,45.674515269560615
725.0,32.49244913478639
726.0,112.62537741004112
734.0,64.60456890040462
735.0,55.078505492806215
737.0,98.5316848589387
738.0,19.55113951971328
741.0,92.70725872742538
742.0,75.90446762771342
743.0,105.12078987662866
746.0,136.35938026947363
752.0,86.57733986919389
762.0,85.95106914473892
767.0,136.38272232855434
769.0,98.69738505103554
770.0,128.98968784390806
771.0,82.74203787148929
773.0,69.3941563897602
776.0,94.06423155445944
777.0,26.49254192080568
783.0,58.68718630863606
784.0,50.47712775287407
787.0,69.81947430745169
790.0,155.2570462312175
793.0,105.82201101492477
794.0,164.66798815088023
797.0,48.51552238972517
802.0,151.7508561570961
804.0,47.223579174390395
807.0,57.771371843306866
810.0,80.4992294593829
811.0,149.09590631200203
813.0,55.410541746661885
818.0,22.64968384502545
826.0,149.03509899424662
828.0,75.30179467591265
830.0,123.99675006527431
831.0,70.48591094551158
844.0,42.820454297370496
847.0,83.42666730415658
851.0,83.11470720094349
853.0,104.93266428206358
857.0,112.62543225969893
867.0,106.66101680681703
869.0,94.47236917781979
870.0,60.775122538084496
884.0,76.65809100442847
887.0,95.78256813210922
890.0,105.0284645751523
905.0,101.83290804682872
906.0,112.46658357762414
907.0,73.61472453257181
909.0,83.96505557987442
917.0,122.5988358950815
919.0,55.60278409689117
923.0,59.199355291913584
926.0,38.08789478257673
927.0,58.36630173242733
928.0,71.93767203709183
929.0,100.8703414452247
930.0,82.4171537496512
937.0,21.042139224247276
947.0,42.35661906830079
949.0,66.28115153818649
951.0,149.73224977454942
952.0,107.06108781759194
953.0,69.33934589678579
957.0,28.69791914761757
964.0,52.091062019680145
970.0,41.138831811796386
971.0,46.17611788636386
974.0,135.6662342586526
978.0,149.97848994248446
979.0,69.19559361812009
987.0,37.96349239334844
988.0,137.95696616474936
989.0,64.49457683952238
991.0,91.47921766488325
993.0,48.437399364771295
1000.0,76.25454423844896
1001.0,59.68276015706041
1003.0,76.66276752442182
1004.0,91.49827315633928
1005.0,140.50516747304704
1006.0,135.84349581014618
1009.0,48.82486357599724
1010.0,13.755219160683268
1017.0,91.86401415048796
1021.0,63.43507020776104
1022.0,53.703235358963354
1027.0,72.93345119156643
1028.0,36.009522202280344
1029.0,65.47615204002929
1039.0,125.35039227099678
1042.0,133.1800695281133
1046.0,170.2210007872509
1050.0,26.24540038524623
1052.0,106.07100823567866
1055.0,154.5830569513824
1056.0,166.34817976591998
1058.0,103.13185568135778
1062.0,81.38884850484357
1063.0,92.72206273905167
1064.0,156.27679745517375
1066.0,107.34655961096678
1067.0,87.80164521726896
1075.0,122.11134630009545
1081.0,141.0559928551926
1086.0,90.0761163655096
1087.0,98.56856769270928
1088.0,41.8492716995513
1090.0,130.7937286200844
1093.0,91.04226456558077
1095.0,55.90730429246522
1099.0,24.975607982000295
1100.0,99.01953861851695
1102.0,65.40995504512236
1103.0,86.61121460143802
1107.0,133.66285818221021
1108.0,149.7629448303308
1110.0,106.99004724738292
1113.0,46.39017114280724
1115.0,110.68246214922897
1118.0,24.642975635123616
1120.0,37.27254578369358
1121.0,55.86241610145891
1123.0,101.55522042441929
1125.0,159.37974218002594
1129.0,108.818870834125
1138.0,37.0885863791123
1142.0,40.38737238897024
1143.0,141.49044876444592
1150.0,114.84673433462663
1152.0,49.27280463541763
1153.0,111.71155357864558
1154.0,58.61174670819839
1155.0,68.88781558690495
1156.0,88.4138394674724
1160.0,114.18700270036697
1165.0,129.77144552525493
1169.0,76.76371530850284
1170.0,76.12114182812682
1175.0,46.0292500677909
1176.0,133.06327472591767
1180.0,62.10531741855856
1183.0,26.29446107493789
1186.0,94.93992419539842
1189.0,53.031584594997945
1191.0,107.53289872180756
1194.0,148.26534783145502
1199.0,139.35673956821796
1202.0,112.82447869848184
1203.0,124.97884121640571
1208.0,106.83241796880255
1214.0,48.3856279490245
1218.0,59.567343798649404
1219.0,175.37079109163165
1222.0,10.679959833600297
1223.0,80.53455835508828
1230.0,82.78303420455329
1233.0,131.94495830059017
1234.0,26.457764785218657
1245.0,119.39736737061568
1250.0,65.84360367467733
1251.0,101.90325992782265
1254.0,126.97336859521108
1261.0,46.35552429358565
1267.0,30.37792731687705
1269.0,41.955866538295524
1271.0,35.80014863486246
1272.0,31.97921104339361
1279.0,51.274388675754324
1282.0,69.0569045212568
1287.0,44.79310672628247
1288.0,77.65582523771042
1289.0,106.17720681681323
1291.0,93.31159398329962
1293.0,50.80676363590696
1294.0,32.16928051314173
1295.0,137.04712212045553
1297.0,112.32611502021183
1300.0,103.5643128705804
1301.0,106.28245327371032
1308.0,68.15550654077038
1310.0,84.22713609352466
1315.0,55.60192246988994
1317.0,23.31408400912549
1320.0,40.71854845338071
1328.0,86.10901497174194
1329.0,102.48435128587232
1330.0,95.94803330081898
1336.0,117.20160259969116
1337.0,113.0582148313356
1339.0,122.06050817657881
1345.0,123.46737285476824
1346.0,125.17345547325755
1347.0,102.9744860201178
1348.0,39.520818170253506
1352.0,96.21932031668199
1354.0,119.93849727250476
1355.0,128.86873167437767
1357.0,52.32653390314265
1361.0,162.78609248267506
1363.0,116.08912178308589
1368.0,72.84822868963879
1369.0,66.69380899643646
1372.0,112.24917351079371
1373.0,60.554646601305436
1377.0,23.522777974716124
1380.0,111.02932603168684
1385.0,64.3984159505626
1386.0,139.59999077612275
1387.0,29.430574866877997
1390.0,140.85709524516244
1391.0,88.25899766085078
1392.0,107.85963663807188
1393.0,121.43824695362191
1395.0,65.45984906246737
1404.0,107.83705652809248
1405.0,130.999161121207
1413.0,72.74329405747172
1414.0,99.89957429121134
1416.0,125.10161181283415
1417.0,134.59908416735192
1422.0,116.93193422555308
1425.0,33.24723010512462
1426.0,161.59870682308878
1427.0,142.57429354988415
1432.0,92.40344081311238
1437.0,84.53516364185995
1438.0,21.30329709012208
1439.0,25.66684385893009
1440.0,75.27538364028176
1444.0,88.41151983228816
1445.0,37.60510212884583
1447.0,122.9753482273939
1452.0,138.53923046345076
1454.0,97.2645541593217
1455.0,149.12551687431014
1465.0,27.29595265270835
1468.0,31.924031788033908
1469.0,72.26606289961803
1480.0,89.94875060607863
1481.0,116.46006568253702
1485.0,55.06662015183469
1487.0,144.67605467154564
1491.0,137.32553141267553
1492.0,75.74947502282653
1496.0,162.5620385263233
1497.0,111.9673480697304
1498.0,104.90209131318153
1499.0,48.14825137962471
1504.0,134.22541085522164
1508.0,81.11029572421769
1513.0,104.23548031850193
1522.0,152.522276553528
1526.0,129.25812493534485
1528.0,26.771968089711844
1532.0,95.58604268214498
1535.0,153.52514466164695
1540.0,113.22490712356036
1543.0,139.343033317813
1545.0,126.61658009007418
1546.0,93.07214667423126
1548.0,135.4611430897316
1552.0,159.2082663312562
1555.0,15.476543315551
1557.0,59.54212342769023
1559.0,144.02241677316286
1560.0,139.01975439252004
1563.0,105.3279388723347
1564.0,129.57762128297838
1566.0,105.29503110116596
1571.0,86.372231419531
1579.0,107.55222312646238
1580.0,116.81585411087347
1581.0,50.31590523459095
1583.0,130.3888421172188
1585.0,156.58127700930007
1588.0,170.46314838734315
1597.0,111.36169212500279
1598.0,128.78540149814705
1599.0,125.70613221207991
1603.0,116.54076809988223
1604.0,161.69130823380385
1606.0,29.45663837002142
1607.0,74.30400349779657
1610.0,125.32752072732627
1615.0,121.17545722216373
1618.0,128.3335029126507
1619.0,32.99138632075375
1620.0,112.18612675763812
1625.0,49.867376930358446
1628.0,128.7180701868047
1634.0,39.63653268432883
1635.0,107.74076332153092
1639.0,72.574189924295
1643.0,62.36112322353667
1645.0,77.049854062779
1655.0,55.14200382068566
1657.0,34.14082925163299
1662.0,93.4641891019147
1672.0,64.60335067070842
1676.0,90.11845275440658
1677.0,21.151811676676434
1678.0,114.80934962894011
1679.0,67.56496865825616
1680.0,143.44569849255873
1683.0,124.1771715180421
1686.0,142.79047023807937
1688.0,40.2428938583856
1691.0,98.43509036948251
1694.0,144.29718774413826
1696.0,117.81998522332047
1697.0,128.9937512656213
1700.0,115.66646985817198
1701.0,110.91145010238752
1702.0,128.69197918155118
