Event,Angle
0,107.45584851954492
1,29.41335462802781
3,154.82130845649033
9,10.153923100182116
10,19.066399504381604
11,23.310795367805436
31,163.12112694053386
33,97.81599423944101
34,31.255339738758224
35,66.43390702611904
36,74.9960703132523
37,159.08683847839893
39,70.09024740059414
40,137.81549259341054
41,64.41764822039096
42,56.65338459504606
46,43.75760524552666
48,152.9946596417586
52,121.64979575798918
53,62.432371376093116
54,83.18099894230348
58,110.91176453518517
59,30.667643735034947
61,87.98853927294155
63,151.64908778864174
64,103.19383743620322
68,106.89619633557503
70,122.62963011750398
71,81.01855485173832
72,12.228044339588019
73,155.19910011156776
74,29.450746311310752
77,128.61612344504368
78,28.847688198556767
80,142.06673309970628
82,36.16414819948959
84,141.75476432125512
88,12.742579864572942
91,115.54535499013753
93,63.50186169730591
98,37.61888724323879
99,75.12100544866975
101,144.73723417621434
102,125.09677837050081
108,101.18043556060617
110,43.733571911710655
114,151.14127290195964
118,89.4265371006679
122,20.43294283061602
123,128.9106311054384
126,130.13850849760033
127,68.74608746822469
132,146.08399374592585
133,41.017625606281584
136,22.544847384969305
137,124.02397832096189
139,65.9058453762119
140,51.144257796127356
143,37.804718014668474
147,148.31846703307008
151,97.21834690218805
154,79.65619775169226
157,27.572110346954428
159,38.73257902327563
162,58.25046988760596
166,112.21613263787962
167,36.71144570243379
169,18.96970265783285
173,61.7971713033599
174,129.2075239217764
179,71.94245806526528
186,15.515687811796491
189,98.56916176470408
191,62.83155368256966
192,48.91597577903009
196,102.60106454934304
197,65.00100042314088
198,132.62768306703677
200,77.21454552136846
201,54.89605849176366
204,149.97361455072817
205,158.10275426092258
208,76.69241204773878
216,104.08224109092752
217,130.513526970235
219,105.59676068729775
221,133.95579324477038
222,152.2760687261252
226,48.20500437676309
228,55.440475570135035
230,39.22809455127083
231,18.400287513329648
232,64.12819515631091
234,34.12008745197519
238,44.08743015570437
239,77.31196859068925
240,91.65636769809191
241,51.900064159703284
243,93.01862702431362
246,151.1771055683973
247,135.46695146949511
248,154.70311097881478
249,10.917036440701093
251,70.26603228835155
254,53.950202116171646
256,159.0255814702333
259,161.87408890721508
260,103.41450649152539
261,107.70851225108613
264,30.652436026970985
265,42.419037336855475
268,38.894200329437886
271,114.3922658445011
273,63.77146448891913
277,41.57199739296701
278,105.54650699812153
280,18.450045551155274
285,125.04426337744133
288,104.82140607714553
295,31.681596473018278
297,91.0981916034742
299,137.9672599313807
305,64.90487247516187
306,14.765188094360871
307,18.706523732991567
308,157.8773399876591
310,166.32325988379526
311,133.21762952651565
313,140.0992724732422
314,136.63752755248967
319,136.2777978792999
320,163.01048190704617
323,79.53575303547741
327,50.8702446487746
330,123.20789193881092
331,110.599010361459
334,5.554535957367605
337,64.285211824752
340,71.60695957734114
342,71.32516253641049
343,111.50677786719616
348,23.255073847802354
351,58.18675790943396
367,118.10337741804773
368,101.5128704706965
370,66.06944602284139
373,82.70834657863007
374,50.22414087681386
375,92.44574582294402
380,56.38705307811829
381,45.263371547100796
384,83.42401949604385
394,166.06386154941293
399,146.95025134462534
401,66.95572181848922
403,13.18306322567453
404,13.17204218555032
406,28.27378045197233
407,158.71830596481416
411,159.1695349835028
415,44.83877517847656
417,60.67383479738684
418,49.64951167810785
421,43.23019437952799
422,135.0930830675334
426,22.70735512328048
428,76.25264574917324
432,58.00545814840988
435,63.48407394105231
439,114.12839390215544
441,124.98728714441629
443,32.75250939173665
444,98.96466118102707
446,65.10013375984752
451,13.944566443500715
452,117.22102600536783
456,25.6363599111419
457,65.24552699729809
458,112.3022205013903
460,131.08728489690492
461,95.96799633126594
463,19.576886590197137
480,20.89176901793756
485,101.19012808801087
486,114.96065117404153
487,114.68162738369594
490,93.93277607304726
492,117.52334263031703
494,93.78606068688872
495,41.15923404575164
496,88.98442278537847
498,120.90350899706205
499,137.15072699970597
500,73.13937423494451
503,159.676637217003
505,106.99283332300169
509,136.37046316119302
510,65.1095790433485
512,76.3026881178391
513,51.94225702270767
515,91.93440553370533
516,83.88326498797225
517,71.76394892772608
519,77.46509896523101
520,154.82821175723942
522,116.0479025221876
523,153.2010488015296
524,112.73365895539835
525,124.37701661740806
527,53.67882604973576
529,138.20082059226078
531,39.040975802461325
538,54.361793764534696
539,23.424007812651674
540,59.959502422424215
544,160.496669558934
545,106.72204848512823
547,7.659612375953216
549,67.21805531009882
550,99.85306806772194
551,38.234573026898836
552,82.73289413114205
553,160.74601647912775
556,160.82183267157347
563,25.258083945530423
564,46.871111916240416
565,171.79367510476385
570,169.35732303627813
575,44.19142315091465
576,61.06303404718119
578,98.81676229090519
579,16.75969556560866
580,26.703679778702128
583,145.3513431579954
586,113.10489643824015
588,109.68435659022444
590,41.35506944804982
595,106.815243713714
597,79.38531852788296
598,98.96227281465686
599,27.66644682995537
600,8.359193501646397
607,121.96316578841655
608,45.50657056934777
610,49.79642099886454
612,148.66324603330327
614,102.91904859085373
617,41.2031376608536
618,76.06410777150705
621,5.674018577814212
623,24.77826477088917
628,122.57641421880534
640,109.80946263972403
641,60.9021193143061
642,54.29412600581466
649,99.71999707713954
653,154.24267993328274
660,83.68280447995564
663,130.61525010547106
668,147.48800093193208
673,91.94449177948813
677,131.4597532917557
679,86.29513558825994
684,53.02905456836705
689,136.90564947063862
690,77.4669262648643
694,132.87701778114308
696,109.96250704312072
700,119.12726932036736
702,143.17726329683214
703,82.59374813766978
705,106.15339083408506
708,28.564136988350455
710,140.78609153965996
714,106.2871591464922
715,97.6332064012278
717,63.22704149897776
725,113.5903638718153
726,122.77389795344054
734,26.805727427955368
735,151.25740929773355
737,156.64860778031755
738,7.7666249133485605
741,116.15261271273576
742,44.313440155703695
743,23.157417220108467
746,52.88287764375514
752,49.06470908826432
762,137.1000708146189
767,58.2055257460633
769,52.38777013382377
770,39.23003916381033
771,43.63541734174468
773,88.24975949470806
776,40.914186591093845
777,144.52851827174916
783,90.39420675996594
784,133.11535508379615
787,80.60077150829268
790,113.16707411046765
793,71.74107200236796
794,133.08853019154037
797,30.578779782335385
802,68.65513725135857
804,80.79434221204161
807,105.29554188682569
810,75.02102189163519
811,26.087951151099098
813,46.11023666328436
818,103.12748409428337
826,96.70196659661198
828,119.56185466584652
830,19.542495932531214
831,79.66970136084039
844,33.69434688923298
847,127.99989032008057
851,100.08879372678902
853,144.19646247681956
857,146.68534760568656
867,91.210869286038
869,93.0647895610077
870,129.41255701464277
884,89.94572917066122
887,124.05964002661597
890,83.31414312559215
905,124.20446947437678
906,116.40840434975053
907,70.26451759913563
909,8.389181934576351
917,123.39206600878977
919,37.81573184727693
923,57.54879406553199
926,111.49365331026495
927,58.09910135426198
928,158.06479011376913
929,91.56513465787094
930,88.44761341547948
937,22.9361665608334
947,88.69511978968742
949,15.670617090745047
951,102.10004869893804
952,18.356447541044282
953,153.54357449440096
957,59.3704064716343
964,154.24300994461763
970,122.25597513457804
971,46.62221112895025
974,134.7294767572318
978,86.04094302006304
979,148.36974202156725
987,149.22711501594097
988,71.40624006968348
989,99.25810577403756
991,123.97401456110914
993,53.167867336800214
1000,60.547854567443395
1001,161.04383552646183
1003,139.778758565927
1004,138.70105025589262
1005,116.93691385162604
1006,108.61033424101802
1009,156.36201186011562
1010,91.17661513256417
1017,53.68017435054421
1021,50.142878661039724
1022,97.67345256241477
1027,9.047688695648928
1028,113.97060581305414
1029,81.89619333941461
1039,156.7707421054389
1042,122.29241487970467
1046,144.69770443479428
1050,77.3776930577735
1052,108.8623510048714
1055,29.84454671863006
1056,65.77917904065545
1058,88.80846056049431
1062,103.61808297010538
1063,139.83488376215212
1064,69.73531566714456
1066,81.43869647379871
1067,145.76948325745573
1075,153.177249140155
1081,160.61847017193153
1086,158.602220035539
1087,137.7630341987087
1088,96.0867982746598
1090,58.9844939898304
1093,118.97785370000173
1095,125.24182199741446
1099,115.46121661195677
1100,83.5581982920252
1102,142.0685601625906
1103,71.15567921401592
1107,41.29450493755875
1108,16.880649337183446
1110,81.68977372463384
1113,92.65092798722166
1115,104.07254067576365
1118,111.4898607536897
1120,129.11212089170726
1121,101.762685613555
1123,13.46059759777755
1125,26.78628536279193
1129,25.72796546507455
1138,93.68852780615461
1142,81.42477482875695
1143,103.46990741231697
1150,55.891108598073274
1152,92.4791628122791
1153,111.79220674297126
1154,26.207686406150167
1155,125.49646829449502
1156,43.67447464331427
1160,19.196168935730466
1165,32.17309954479232
1169,64.76817546670897
1170,73.94476236416136
1175,76.0428855514586
1176,60.50244165589449
1180,91.60800284184143
1183,76.5322590722687
1186,142.41356529044924
1189,119.49958252982651
1191,84.68701830523301
1194,87.44352403002728
1199,149.08541437073626
1202,123.26260875089211
1203,88.9578908184584
1208,118.59704189958671
1214,151.38103636910347
1218,60.772759430314295
1219,33.39426328253982
1222,51.78215790218151
1223,96.85007798820692
1230,46.05673147095805
1233,112.28722281208921
1234,61.949997443003966
1245,129.4428500328808
1250,141.1503591338186
1251,78.07870997045941
1254,23.123286525849135
1261,135.96086999294928
1267,139.18858018407425
1269,118.9811058984499
1271,31.881865044014976
1272,44.12511998627718
1279,115.22749243094128
1282,146.10829710760586
1287,144.6280753745474
1288,169.54996950874215
1289,106.192525496238
1291,64.93887986234843
1293,37.316297561611776
1294,151.19161253915092
1295,73.18502313300081
1297,71.70402543095221
1300,73.36787470352941
1301,13.896618251633491
1308,76.11504199757415
1310,79.18614951834675
1315,67.24290810847657
1317,103.98151207129264
1320,147.04684757703194
1328,125.50414796031143
1329,55.865299978100566
1330,119.10977599430754
1336,104.3758555013476
1337,111.35876068302703
1339,78.16920253611204
1345,110.84675830456055
1346,113.82298934757179
1347,91.22116522431739
1348,144.61912562468842
1352,160.35801787954316
1354,118.9456079950269
1355,95.22651266443356
1357,85.62428928888937
1361,90.67496772563415
1363,134.79276793331826
1368,108.65601114658513
1369,169.95102178614263
1372,120.11740782030844
1373,157.6597927769588
1377,41.68376711347433
1380,147.31404029675286
1385,47.676536442421174
1386,55.562829689669556
1387,115.83326906785948
1390,46.183791361452684
1391,165.9662649493261
1392,106.352224315813
1393,65.6535958623073
1395,16.262574117288327
1404,100.8781339455846
1405,162.13332644800306
1413,104.62737906378693
1414,35.22604465505369
1416,106.45934914265356
1417,90.63501170541589
1422,149.41751253694264
1425,100.50834894413512
1426,12.916447834615171
1427,147.3226755035466
1432,159.87356321540088
1437,109.78595535353837
1438,34.39585531606024
1439,44.44477045724223
1440,156.53219004518726
1444,33.440285029672076
1445,161.27745273972948
1447,71.8610359080366
1452,79.87150899630771
1454,73.49453554126674
1455,65.07940792364721
1465,95.51698205187753
1468,121.05073426031565
1469,150.02914744648143
1480,158.2306249908961
1481,160.43521865116293
1485,47.369476939625905
1487,141.58243515881364
1491,95.03257828957608
1492,121.21861975928248
1496,115.3126101098951
1497,48.108023865513594
1498,55.74833136482951
1499,38.55484816086655
1504,131.7480778107356
1508,80.47765604297209
1513,67.255024124112
1522,14.906418640694508
1526,126.87930177679556
1528,108.4731960888957
1532,68.1513146994624
1535,147.1387736143769
1540,41.018655338671465
1543,85.20266544660996
1545,91.57539158450565
1546,109.87439431947523
1548,127.13331230799061
1552,103.0652651995183
1555,35.76815861243221
1557,130.724741283963
1559,6.030913782483543
1560,40.33324046972212
1563,106.49670719377856
1564,152.0921474633548
1566,45.70321983796142
1571,148.65984537170192
1579,153.86833652078298
1580,48.01201783128593
1581,12.305827302800367
1583,25.943190009251392
1585,130.37871983333181
1588,43.74199718305041
1597,133.8112448697129
