Event,Angle_Z_l+,Angle_Z_l-
0,45.745818797096554,106.00953035995651
1,29.340027788357357,129.45429195435773
2,40.89181622145479,108.80832192747651
3,148.17077819374424,15.893602959058134
4,46.90615075893648,88.40965111257695
5,114.42209424193862,37.04833098074637
6,72.47010271707772,69.69732108490822
7,107.1838665471704,34.99221181178347
8,38.381458744693205,103.79527373331072
9,80.07758930151893,62.72599271897319
10,130.54627316881593,25.890380804891045
11,98.01506868722548,46.17495666613139
12,90.36369556905296,57.29846144019146
13,40.02622866535455,112.66147340391466
14,123.85138733057539,31.379700682157516
15,89.44046163788634,56.504500600826255
16,105.8752835059866,43.742166615608134
17,115.36648743850748,37.70284695016623
18,135.65676490345444,24.213154128714773
19,98.83618434593843,50.64497819253894
20,82.95741250271212,62.31234643469008
21,104.97429560872716,45.740011494250695
22,24.869402332767837,131.34744813154677
23,25.64604771910599,134.32081148733158
24,19.41186164102346,144.11760898206512
25,160.0388180007977,10.897489617819863
26,137.45924131360104,23.332281857026203
27,89.46606851697237,56.11011232520818
28,60.10119265023479,86.03248929217514
29,117.43966802173551,35.686158506392694
30,111.76784322646316,40.48000855470613
31,129.83687708863238,25.885571845484424
32,110.90717314250611,42.05302586962001
33,29.72542516313465,126.74383607566945
34,121.87872261854645,44.072888601254114
35,89.48989465813278,52.27946356950996
36,116.7471187251669,35.95251929079967
37,46.31185450639116,106.15667756934002
38,128.2560347667869,29.235202639416645
39,41.139394155711074,106.68749909640579
40,8.076305285419206,166.44757757609446
41,119.8829045454788,33.46608446634492
42,41.87748137103519,106.31522537294458
43,51.73106243159054,92.75427687656591
44,8.634286453545421,163.86336332886302
45,121.59402975689488,26.915053145485224
46,5.068938878359996,170.7211808907768
47,83.26530879522177,55.539214924059195
48,131.83256599759034,25.256882984269136
49,103.78317283620517,45.48916617416513
50,27.879270807011814,130.87980872073993
51,87.39926109879524,64.18072651331471
52,48.48956159137896,99.32501832427508
53,99.03587770877255,27.843162301441122
54,102.73981020560356,47.241819655226294
55,36.93246402975466,115.50681225475037
56,103.75270045685261,44.370926787615204
57,19.967753591810318,133.71231808217917
58,37.98902406323761,115.62856307336533
59,26.420260347458964,132.39737531832307
60,36.52228048511484,121.85851516641617
61,68.33215691985485,76.11739790757504
62,51.04662903987185,96.77956601955998
63,71.91967486593448,72.21652199390697
64,125.95100753149833,28.98278491054067
65,83.33969633325417,61.36597538106512
66,32.81526338557238,121.15389750096539
67,128.27289007938438,29.2016256941884
68,68.43927775562662,77.29465861049738
69,167.3948329854802,6.719746728004333
70,124.4748056023493,28.596399591084474
71,104.41752758173848,44.392552462510224
72,52.96788018561875,89.15487963235778
73,73.38280043994686,70.47979373239353
74,42.33557053180147,107.6623646307731
75,8.779103951225293,163.4226921801972
76,49.310407353376135,99.05117400109071
77,78.00441911068071,67.67009654570774
78,148.8562313593076,16.64900521338312
79,33.15086851743677,124.22552051962687
80,69.04411475354887,73.48362453768941
81,115.97535685394148,38.498768365007
82,146.5485585388574,18.279224410021545
83,148.89163203329616,18.249427394363334
84,58.075081140304015,86.2592965578306
85,43.06511677766191,107.77053755512854
86,62.78196087670765,82.43125360600148
87,40.963214475057136,112.70866418622441
88,15.127207419312688,144.987954572046
89,83.83538276014433,64.70604641184168
90,83.266158361664,61.9601791752884
91,156.31615997614946,12.892052705356647
92,46.66965198285635,102.88711173657101
93,48.662495417824374,98.68705140426437
94,153.0653154875311,15.160217649409622
95,30.713655534556718,125.17760489691763
96,135.37489331783988,22.300861535964255
97,109.63051870423263,38.99102931555494
98,84.95799171967384,61.94244276777538
99,4.099139576713964,171.06631347665595
100,47.09716640157153,100.28111375972757
101,58.57740145536901,86.04608537010776
102,174.66656437091163,2.877263545569139
103,150.05604296451983,15.947232188829865
104,106.72395922026615,42.45688957973483
105,110.4032730703123,37.5470001412616
106,146.86121658527972,22.765839570056137
107,148.56519006350678,16.387715213015674
108,150.48382264010883,15.75844149849097
109,56.329669414584195,90.32032450440683
110,19.723990468262272,145.0575237954493
111,10.035506911912401,160.708809724163
112,119.0778171903632,35.38930045532458
113,113.70704459179369,37.284158432622675
114,32.86917125689408,124.82064702908076
115,29.658121787111458,123.99689203966813
116,19.906346776837292,143.34337696470988
117,85.66202415157318,60.973608330626945
118,124.36487108763632,31.738925706071946
119,18.720250591599953,148.37568081624443
120,26.5830441260421,129.05433257726975
121,62.31828830532795,81.35027239296373
122,31.604648907505933,111.58273045632326
123,36.273287188228494,114.67420151646121
124,138.568146505904,22.338033400125653
125,67.08232288779362,75.35492295613177
126,59.6245943365665,76.32366839441731
127,12.98743884355108,155.88922503012486
128,101.1916251686304,48.78028366502205
129,130.6397074538076,27.28889166539495
130,123.87090117861698,30.56712761820162
131,15.635017359324213,151.36929918776775
132,17.679605448407145,135.5483705435247
133,72.92629975149818,68.57268215806427
134,154.92699033660824,13.009647754608205
135,34.086612982792275,123.25648913169687
136,7.8957995895027295,164.86115728438844
137,70.41864293042899,67.94868077665683
138,31.55207372942214,123.58231739759397
139,18.89588706547515,144.23256525696848
140,41.432118447673886,109.52017758949934
141,42.435270141516625,106.88959492817195
142,20.288894735502087,142.38933321724673
143,48.29077261667877,100.13371256471963
144,129.11281777639877,26.86085119957324
145,77.57930085536742,75.8717263382001
146,44.934850542207364,108.32228470700227
147,63.678561375419285,78.4312509952881
148,31.868772139600313,120.50166848671427
149,80.39697631581602,62.97991185647191
150,22.656064196887012,138.26292218433056
151,39.70064785155705,113.35359846814771
152,10.08087999127054,161.11932833946955
153,26.540029342503605,131.3865684799568
154,21.797098714350565,139.2256946533875
155,20.38128074086598,141.0300759226638
156,71.75484001932348,74.8291474047278
157,109.28694426771844,40.95331722902751
158,132.33300748228834,24.695344193574826
159,66.8058046161126,78.21126120812306
160,58.263871684402474,79.69298242829461
161,66.29154877112158,79.95721755635
162,162.3206447154285,9.617224268231897
163,110.10046436358674,23.69545970037098
164,62.36404330819578,82.8040997510927
165,58.47241463251442,85.18689326098809
166,50.629450733806905,98.69253372795879
167,48.81533300829861,80.00594332923163
168,146.67558008925698,17.673230844988144
169,75.6044860908937,72.73617257735168
170,41.71233764930577,108.87752805501337
171,100.79606044831908,46.21638643908052
172,50.01953844959696,99.06482685648449
173,54.86857202996577,92.1014294049213
174,83.75695662922098,59.94862259582554
175,43.40320401387565,105.27573129182576
176,48.464011254285595,98.18172562346774
177,131.52700642944123,25.870370506129458
178,152.2381949880979,14.405096070748327
179,27.85595769052347,130.5655295537816
180,109.36485380452703,41.26952479403218
181,174.39083341615236,2.9544454023048443
182,117.40308589567334,35.654094456302865
183,107.5887183185628,39.87891873662335
184,136.32952843781678,23.31282312520389
185,37.07546864232853,116.18358962257413
186,138.4325506638471,22.021591769421327
187,171.69687691242967,4.357049205453328
188,37.863473764635316,112.50636308494704
189,89.7653226681685,51.66401385719125
190,140.49801931770418,18.227815782934353
191,56.37913888673886,89.62384898948324
192,74.87436525824424,68.1651406122435
193,25.282393349410405,134.99512507194675
194,57.62651477192964,87.74503365229691
195,162.3187699390117,9.560345887895942
196,13.619984190109244,155.81951532909025
197,116.45939010462286,36.775876896334225
198,71.19752226824987,73.2465637609049
199,59.137162068628314,72.92965657792477
200,76.63513700038743,65.36976806274447
201,81.63128884340868,61.97269278559377
202,156.34541643242542,12.16283492133715
203,96.14772053586104,52.050827877311
204,141.71936782590635,20.881171711712817
205,8.14618305312592,164.8146320699948
206,48.684544084393664,97.90013854966085
207,6.481825275454727,168.00161111481447
208,14.913394612339353,152.8106872325786
209,18.818843256140305,146.05514314798967
210,113.59677286551201,37.92929703972933
211,88.71171247539937,57.420983750605295
212,21.231908122976787,146.19840069633628
213,17.12331772641516,148.58420768633178
214,4.3445978970691606,171.81835204037458
215,155.74032169698236,12.620207752570156
216,8.341769676613216,163.70951619470893
217,46.05258046100969,101.77681196223791
218,102.24299724946165,45.589088409364706
219,52.769745931070574,92.86875607870019
220,59.33784064198653,86.19962709922575
221,170.38163734064014,4.866684446296041
222,171.49979739682664,6.166475344368293
223,13.649541645751661,154.59268098387605
224,102.4422256862433,43.62962053083696
225,89.13231395870172,54.813562180514715
226,158.8156524692429,12.52162098726076
227,98.10165212624838,34.418712771672375
228,40.420582868029804,109.82120918506446
229,35.108921385181844,119.19048920335943
230,123.2419397486111,31.401574297971635
231,77.2737673527849,64.35817909294796
232,95.04215166343478,44.48749721014147
233,53.548642208527646,94.09994160714643
234,27.486132959645413,131.86989191164196
235,112.9288862386899,26.323174595008854
236,130.41602427493692,28.682102170779828
237,88.39241867179781,57.55182526554606
238,54.28310282883037,90.47770287779443
239,148.9940977229794,16.615010347261524
240,66.36256159438338,79.20345981336015
241,41.11656641624628,107.21270828328166
242,134.29093999669084,25.494904972271456
243,32.151511504847356,123.16212007359074
244,,
245,19.67825012649007,143.60039239410682
246,91.22129824742841,62.70715512762172
247,35.57221904457144,117.78640167615119
248,75.9413291879259,69.79436369510621
249,59.05063608712285,87.69549162438042
250,125.75436501290524,30.737038347950477
251,88.30264512879343,57.4607025262163
252,118.81408328547496,34.65988939332135
253,34.27439971932977,121.53646155181372
254,80.74987924664924,62.1711284295661
255,55.88104672220734,90.83738913941268
256,126.53942476781364,19.91266438139626
257,88.62736750967802,57.785471458812935
258,31.251728324821592,124.86796667081305
259,55.36619083220415,91.05517642833603
260,174.73050699526362,2.931137986514349
261,151.13197793424595,15.87036052088918
262,79.15448282687329,66.20923428599204
263,113.91402356243258,37.2130533395935
264,65.29573199148417,81.50127215002419
265,164.58040141038842,4.155420049151659
266,39.815280647190924,106.84933570518334
267,34.14912905216035,123.24720535030733
268,41.2687012591702,109.14292511796415
269,91.06304747137885,57.83692588385804
270,132.8805295816516,22.09129309239775
271,86.87677057348166,60.11743425457782
272,79.36315740856928,65.53235895036099
273,41.075720735215505,107.17348053483835
274,,
275,121.15081092078714,29.313504809202296
276,84.57027814103203,60.927835274676944
277,141.05000844928438,22.167448410574334
278,35.31899941560317,122.26859347931342
279,141.2380556831437,21.94599854386608
280,109.04732479273014,39.94276549971408
281,56.60909147016383,86.3185505732724
282,65.3516159206881,80.51652363710521
283,79.40488761907076,64.01531022660737
284,79.49700631880958,65.28849360669167
285,159.0335714894562,11.63918987942902
286,97.25072590534208,56.5731007189019
287,30.42120614503737,124.81427895992935
288,43.212744663682145,104.86345663463509
289,155.92445096125005,17.41114114334021
290,54.28530058881833,91.61412898580083
