,Event,Angle (radians)
0,18,2.025819005677156
1,23,2.092916332322142
2,28,1.0876506496806835
3,33,0.8357932723852868
4,38,0.6789423672093217
5,48,1.7714414951829058
6,53,1.4891817592373864
7,73,2.4680504935813055
8,78,2.029285296310786
9,83,1.0834290050317783
10,88,2.2003698073016196
11,103,1.9650440490859424
12,108,1.4471046006809398
13,113,1.4959676601832075
14,123,2.4049090552436354
15,133,0.0297876969624115
16,138,2.6840864611208066
17,143,0.9207160489058404
18,148,1.4144989813525854
19,158,1.161037868624058
20,163,1.4813799751635792
21,168,2.5898762099594115
22,173,0.9214328076317622
23,178,1.9248520208331634
24,183,0.8221244757785962
25,203,1.656269531224929
26,208,0.547748810081651
27,228,1.6052853846919362
28,268,1.2781461494379704
29,283,1.9075610683754145
30,293,2.3037483521382662
31,298,1.1943398883205019
32,303,0.9548168848916879
33,313,1.5336258087504737
34,318,1.9324005054262798
35,338,1.883067840945556
36,353,1.2915017496012369
37,358,2.1807579239272035
38,373,2.030961498435464
39,383,0.9424634088970323
40,393,1.931736938308767
41,398,2.832914952425335
42,438,1.2279840852671733
43,443,1.8308590175909376
44,458,1.1271144665953476
45,468,1.3791389640937366
46,478,0.8225684293739026
47,483,1.5049843157187277
48,503,1.3730782824786256
49,513,1.0576663091672764
50,518,1.0199060826802897
51,523,1.374617403922731
52,528,1.8348421296237976
53,543,1.9827998427142208
54,548,2.8775613788127026
55,553,0.6918163053702723
56,588,0.5747945614658638
57,593,2.392589702047916
58,608,1.7731641193937968
59,613,1.6570763129204196
60,618,1.4621609826423587
61,628,2.815067036417904
62,633,1.410736571863069
63,638,2.114084599100594
64,643,0.8098005499980405
65,653,0.44337622403245275
66,658,1.9500510302230085
67,668,2.5640071332728454
68,673,2.1654292236262505
69,688,1.259875181923154
70,693,0.9282456569476027
71,698,1.1160438472577952
72,708,2.63174906867108
73,718,1.7248527334526524
74,723,1.77317708575126
75,743,1.2045504881075741
76,748,2.230121707033595
77,753,2.2960430420244076
78,758,1.2245257196051844
79,773,0.21478822820951987
80,783,1.5051036903789792
81,798,1.630547473603342
82,808,0.3779064675898973
83,813,2.159121093533072
84,818,0.4969171927249826
