,Event,Angle (radians)
0,8,1.1750855963574285
1,13,1.3453703037041624
2,18,1.4953848453805194
3,28,1.5804690624660658
4,33,2.0698250615413256
5,38,1.7161672553846472
6,43,2.5237441065711015
7,48,1.024825310085362
8,53,2.625835879404083
9,58,0.7577223103914101
10,63,1.5007052422933955
11,68,2.8190964941960766
12,73,1.3037234232574602
13,78,1.1437534564666552
14,118,2.1972332802139474
15,133,2.113047990245745
16,138,1.139661563630334
17,163,1.2739017325286655
18,198,1.4494712915830923
19,203,2.7571125706229975
20,208,0.9642211582842009
21,218,1.1997055721688543
22,228,0.7098213363967291
23,243,1.7970208187841108
24,258,1.71838623315647
25,263,1.822785851131485
26,283,0.8551409940204994
27,288,2.8600388959990872
28,293,0.8424784189145503
29,308,2.5156026719017075
30,313,2.6685692065661817
31,318,0.7638514475045906
32,323,2.975100220383364
33,328,1.1000615668378928
34,338,2.0425079499813164
35,348,0.31023168698379755
36,353,1.933000259938397
37,368,1.3261756137796017
38,378,0.8433065980531241
39,383,1.7990495471803358
40,388,2.1462009607228243
41,398,0.5381268760397865
42,403,2.950695880486066
43,418,0.37420803226157084
44,423,2.3819994792679644
45,468,1.3777799744536483
46,498,1.125280042606804
47,508,1.2235065365615112
48,513,1.3484595956706407
49,528,1.196818010884512
50,548,1.3362287508455457
51,553,1.4481500034582881
52,558,2.0528438536156814
53,568,1.642542214304371
54,578,0.3454740816244263
55,598,0.9531519841750572
56,608,1.8167787277677019
57,613,2.4942650909452544
58,633,2.092714696259243
59,643,1.4510607424471798
60,648,1.5879120625890177
61,668,2.410242241556627
62,673,1.4854338567183265
63,693,1.0437803444061218
64,708,2.8604564393593064
65,713,0.522947031911175
66,718,2.0791334235291496
67,723,1.753140125094375
68,758,0.17243390060178834
69,763,1.2282649798565468
70,788,1.8878068415819516
71,793,0.7948515849268706
72,808,0.8659653248706519
73,813,2.186801013629904
74,823,0.7093090884997024
75,828,1.6393745231662917
76,833,1.426911932555893
77,843,1.5074946888007161
78,863,1.7030508629172134
79,873,2.340373538899358
80,883,1.667233568118571
81,888,0.6539873166256683
82,893,1.3787821958012232
83,903,0.6644920816150307
84,908,1.8907616944776788
85,928,1.9247095930029203
86,938,2.491287437198173
87,943,0.8034331402247812
88,953,2.7883620037616215
89,963,0.907213712521539
90,978,1.7101399545899263
91,983,1.6517404246515954
92,1003,2.158300200476409
93,1008,0.7857590484293849
94,1023,1.7894037023868121
95,1033,0.5986369466898799
96,1038,1.6359237493290004
97,1043,0.9017568954261179
98,1048,1.692511986307789
99,1053,1.6197749351000637
100,1058,2.3112103717473444
101,1063,2.083482710618304
102,1068,1.9919325114228157
103,1083,1.202911472634308
104,1093,0.34612305598863413
105,1103,0.8407015863528527
106,1118,0.4214293004716258
107,1143,2.6219272843997663
108,1173,1.9659812336250682
109,1188,2.0757625325337625
110,1218,1.931973503566144
111,1228,1.309732243374085
112,1243,2.6232488070935096
113,1248,2.1460644103251574
114,1258,2.4787925278790777
115,1263,2.30880878976054
116,1278,1.3328806409563243
117,1293,1.8768081334575997
118,1298,1.747219822026466
119,1333,1.5796139308098631
120,1353,0.5333486470035655
121,1368,2.3711399006545992
122,1373,1.8500746456539807
123,1378,1.63319521866905
124,1393,1.7105157674351206
125,1408,1.7203344157796596
126,1413,0.55605587351983
127,1418,2.9839045003645235
128,1423,1.4719129536828097
129,1433,0.6746518399221803
130,1438,1.1117558308177826
131,1443,0.7920377286906763
132,1448,0.99927370466793
133,1463,1.5515614912821751
134,1478,2.220846090621571
135,1488,2.074579307170742
136,1498,1.2240875299126228
137,1503,2.1450454034948323
138,1508,1.5917274325877213
139,1513,2.1751136498364
140,1523,1.1345634643479003
141,1528,1.4573643610636813
142,1533,1.4214983851870593
143,1543,0.8410272608400338
144,1548,1.870181762785565
145,1558,2.415463536763215
146,1578,2.5182722798097776
147,1583,1.4265984184060359
148,1588,1.3817717135946461
149,1598,1.8580264202531482
150,1603,2.165436791869626
151,1608,0.19900438437624177
152,1613,1.4107419283291291
153,1618,1.839854845005973
154,1623,0.21542787447887998
155,1628,2.323078218478337
156,1638,1.216188621939676
157,1663,1.26526116119224
158,1678,0.5955457820652237
159,1698,2.4091621979110838
160,1703,1.7044144349910717
161,1708,2.399292719857509
162,1718,2.1584819681117815
163,1738,1.22983020341141
164,1753,2.398834598089039
165,1758,2.5607665502917487
166,1763,1.931520171357243
167,1768,2.396175597081299
168,1773,2.553081106593456
169,1788,1.6256056742013005
170,1793,2.2571947595644177
171,1798,1.3687434729098242
172,1803,1.1213402506771808
173,1808,1.8223748493695338
174,1818,0.6299328065735814
175,1833,1.2103534146703236
176,1838,0.9090290133318543
177,1843,1.870691875295887
178,1848,0.9828626832070436
179,1858,2.1514216947354847
180,1863,2.7168432299560186
181,1868,1.0755415320389639
182,1873,1.0219111222908082
183,1898,0.818015475485901
184,1903,0.9994979210488615
185,1928,1.9866528858334043
186,1933,0.6374919465004639
187,1938,1.1186973305446655
188,1943,1.3239638751305063
189,1948,1.9957522981181923
190,1958,2.068504359665
191,1983,3.0164504822876075
192,1988,2.2652583826450843
193,1993,1.460382567178398
194,2013,0.4630836800796221
195,2018,0.2731984399096496
196,2028,2.353878999078393
197,2033,1.1130108742356388
198,2038,0.4437569417986853
199,2048,0.6473422787690494
200,2053,0.8943813950583628
201,2058,1.0601708011782542
202,2063,0.4936735367767046
203,2078,1.700347803050698
204,2093,1.382039555885165
205,2113,2.4814440197384644
206,2128,0.910722784463712
207,2138,1.3963428025119622
208,2143,2.4764207606909294
209,2148,1.353303125260702
210,2163,1.7029046906475367
211,2168,1.100994190112006
212,2173,2.4869391444364988
213,2178,2.659397606189545
214,2183,2.348631494947343
215,2218,2.453090091708498
216,2228,2.4096728324115775
217,2243,0.6390415809632014
218,2253,2.7681899241120913
219,2258,2.606952613099404
220,2263,0.3133695060345229
221,2273,1.2226003622705042
222,2278,0.694281906947646
223,2298,1.765708330926482
224,2328,1.4618946765430774
225,2348,2.7001915525328823
226,2373,1.1499894094587386
227,2378,2.0127819055777674
228,2388,1.7756323756728865
229,2398,2.6287877768026635
230,2408,0.7413518950055414
231,2413,2.1842679215921335
