,Event,Angle (radians)
0,3,0.480414086922393
1,23,2.1897709587055694
2,83,1.7999385199971492
3,88,2.712132317514758
4,93,0.872837235878718
5,98,0.8681977162381205
6,103,1.1544023224391435
7,108,0.8598847966262905
8,113,1.8070416093020178
9,123,1.7444643894188603
10,128,2.1463860297455497
11,143,1.7204293866481537
12,148,2.576253251692355
13,153,2.6475327184301163
14,158,2.046581077607585
15,168,1.3226482562941246
16,173,0.8253466958644033
17,178,1.6781396065510863
18,183,0.6833661094021193
19,188,0.43205206941088226
20,193,1.9268856870935485
21,213,2.4410155312969994
22,223,1.1079442594443853
23,233,1.833888622618794
24,238,1.914906468506933
25,248,0.9784490898231483
26,253,1.5290318950895123
27,268,1.766611748812944
28,273,1.9123608934790857
29,278,0.9734680057682886
30,298,1.3545923760646066
31,303,2.3269722935920654
32,333,2.8789966519908985
33,343,0.8878611121523193
34,358,0.9930388465342092
35,363,1.547890212729318
36,373,1.085910282370572
37,393,2.6086291286858483
38,408,1.5160232822391075
39,413,0.34257472614548445
40,428,1.7694044154969744
41,433,0.8861626150499734
42,438,2.8156208468540305
43,443,0.5867186938051161
44,448,2.1403080873270373
45,453,0.8076538785223849
46,458,1.5692805982404696
47,463,1.0280510595363856
48,473,2.1333387667074484
49,478,1.622787672812465
50,483,2.752773669153414
51,488,0.19671551010851915
52,493,1.4327925317943553
53,503,0.3173124586208977
54,518,1.7477638921900485
55,523,0.8551459757240871
56,533,1.4437965368255847
57,538,2.495483188082932
58,543,1.2134718133720963
59,563,1.2817846217223805
60,573,0.6743582249583688
61,583,1.300586701475828
62,588,0.8128295123542388
63,593,0.9742857272907464
64,603,1.5744991477377202
65,618,1.6270936559272717
66,623,1.050666569117866
67,628,1.5994129875964345
68,638,1.7592190448194358
69,653,2.6665465346476447
70,658,1.4985119084685288
71,663,1.9096920084039615
72,678,2.030165596118598
73,683,1.599718113676829
74,688,0.9301184961566009
75,698,0.618213418629415
76,703,0.9511961961474219
77,728,0.6378674261903288
78,733,1.9190466954312275
79,738,1.2322769685868242
80,743,2.058009120698754
81,748,2.4725115893377536
82,753,2.2160075441218465
83,768,1.7413647251774471
84,773,2.7550829636664425
85,778,1.2263914251123913
86,783,2.9410459631831967
87,798,1.5143639385769947
88,803,0.753853459173367
89,818,2.173869318582554
90,838,1.049919246884921
91,848,2.8371386796531906
92,853,1.5321016552004507
93,858,2.925392773795697
94,868,1.827577072297985
95,878,1.4396217625317234
96,898,2.2670498193064033
97,913,0.7585810648734971
98,918,0.15039178185754215
99,923,1.6043856688938234
100,933,1.5141698579239924
101,948,0.8658676037323759
102,958,1.054092150858681
103,968,1.4365346189276849
104,973,1.0723787018846014
105,988,0.5322671246201384
106,993,2.3051883602446366
107,998,1.1491888798311998
108,1013,2.6570345052926627
109,1018,2.010294333924687
110,1028,1.5386219329474684
111,1073,1.7211060366670945
112,1078,1.434658206526662
113,1088,1.4893524661085287
114,1098,1.1180826016045697
115,1108,2.8469358407638476
116,1113,0.5958343913925924
117,1123,1.1150099133269542
118,1128,1.6732651653971766
119,1133,0.9806694514092706
120,1138,1.7936085106144268
121,1148,1.6585761396006171
122,1153,1.653704973995845
123,1158,2.5789836320232946
124,1163,1.3191753451056374
125,1168,2.5814650955165366
126,1178,1.4632961931212667
127,1183,0.7120673746067036
128,1193,0.8913701725178429
129,1198,0.9623306866320873
130,1203,1.0599666899269127
131,1208,1.4387133441071704
132,1213,1.6727445298901416
133,1223,1.111671145924947
134,1233,1.7643446645314425
135,1238,1.0747794222373575
136,1253,1.4175661756579407
137,1268,0.643810480972638
138,1273,1.138836012204499
139,1283,1.1248554695356994
140,1288,2.890536781372981
141,1303,1.5652640645574953
142,1308,2.358315347755509
143,1313,0.981968315886995
144,1318,2.3139625093803455
145,1323,1.3408781125474065
146,1328,1.0913252633592636
147,1338,0.9604815284560401
148,1343,0.7176003458879293
149,1348,2.7331115109035014
150,1358,0.39310358228578834
151,1363,1.8471766982954583
152,1383,2.2943878055373346
153,1388,1.5738944616238455
154,1398,2.9042984036298556
155,1403,1.2606667396825575
156,1428,1.4282725139002306
157,1453,1.761673476740912
158,1458,1.6774240619086358
159,1468,0.4947271052683877
160,1473,1.3468798924160494
161,1483,0.9290641615606609
162,1493,2.211133320691575
163,1518,2.340536780024376
164,1538,0.630421284101941
165,1553,1.383238172134955
166,1563,0.4193764299731635
167,1568,2.1468895194300504
168,1573,1.434687620380188
169,1593,2.1024010875125714
170,1633,1.5627515223411292
171,1643,0.34865887816194
172,1648,1.381830791623984
173,1653,1.6695588296232182
174,1658,0.5805969796770732
175,1668,2.501409428873521
176,1673,0.9728393857362023
177,1683,1.8903801723912133
178,1688,1.4211834866841135
179,1693,0.8995993747979092
180,1713,1.7886978988115663
181,1723,1.5880041136876464
182,1728,0.16606939630861076
183,1733,0.2030971349679548
184,1743,0.9822309316437078
185,1748,1.8103366302603552
186,1778,1.7325917113279077
187,1783,0.3971271778121841
188,1813,2.513509654064063
189,1823,1.5559483627160957
190,1828,2.8071841135095674
191,1853,1.7948580280480273
192,1878,0.6779815881410326
193,1883,1.7124729056903991
194,1888,1.9847250370612406
195,1893,1.0574515951105667
196,1908,0.731670643785727
197,1913,1.3827518317791627
198,1918,2.4635773514739228
199,1923,1.4141791515899202
200,1953,1.1803129666281267
201,1963,0.9972105986892229
