,Event,Particle,Px,Py,Pz,Energy
0,0,Higgs,41.92648328707406,-7.074705306875975,11.272709754033942,132.51398205924963
1,0,Z Boson,0.0,5.551115123125783e-16,0.0,88.52585198885899
2,0,Electron+,-15.229484147957379,-6.628036670440473,-41.028511243149055,44.26292804767971
3,0,Electron-,15.229485176013673,6.628036456734581,41.02851158366422,44.26292790521664
4,0,Photon,41.92648200757934,-7.0747050909731035,11.27270941001813,43.988126026384855
5,4,Higgs,22.71738081909561,-14.155850122070442,-13.6978645501454,128.56554350677504
6,4,Z Boson,0.0,5.551115123125783e-16,0.0,98.49730570587515
7,4,Muon+,9.173231604978664,-17.008915961099483,-45.29864634616612,49.24865354235083
8,4,Muon-,-9.173230565838265,17.008915944984476,45.29864537689818,49.24865245218305
9,4,Photon,22.717380819095617,-14.155850122070444,-13.697864550145413,30.068237800899922
10,6,Higgs,-21.634333966848956,-31.36054990636965,-16.86719883326322,131.76126476738108
11,6,Z Boson,0.0,-1.3322676295501878e-15,-1.7763568394002505e-15,90.09556196238502
12,6,Muon+,35.43139652637318,25.559159075907353,10.983485256694372,45.047780654787886
13,6,Muon-,-35.43139458578816,-25.559159027728793,-10.983484753944484,45.04778091314013
14,6,Photon,-21.6343342969627,-31.360550384893664,-16.86719909063626,41.66570481551339
15,8,Higgs,44.70161386907375,-47.917954272454054,15.469520876734126,141.98123362019533
16,8,Z Boson,3.552713678800501e-15,-2.220446049250313e-16,1.7763568394002505e-15,74.64869549710225
17,8,Muon+,-10.85652806303321,-31.01866353810176,17.69390099058443,37.32434856472229
18,8,Muon-,10.856528185455588,31.018661499522295,-17.69390094821872,37.324347663549915
19,8,Photon,44.70161386907375,-47.917954272454054,15.469520876734116,67.33253812309307
20,10,Higgs,-3.258625707240855,26.47901477646549,-33.5944557011344,132.156514477674
21,10,Z Boson,-4.440892098500626e-16,4.9960036108132044e-15,3.552713678800501e-15,89.25727883372346
22,10,Electron+,9.141696415050742,26.6269392988058,-34.62876215680805,44.628643098912626
23,10,Electron-,-9.14169603750143,-26.62693849201036,34.62876113321054,44.628639755476925
24,10,Photon,-3.2586256575181727,26.479014372427788,-33.594455188523696,42.89923362740214
25,12,Higgs,-7.616315525524423,27.512643634875857,-27.514590306315927,131.13735738411248
26,12,Z Boson,8.881784197001252e-16,2.220446049250313e-15,0.0,91.48882288077958
27,12,Muon+,-35.836233339349704,15.590614000470303,23.774713398688363,45.744407680299034
28,12,Muon-,35.83623453030417,-15.590615334441607,-23.77471254149356,45.74441103542572
29,12,Photon,-7.6163157579559275,27.512644474495104,-27.514591145994594,39.648538505327444
30,13,Higgs,20.737304284210175,-11.142344123338075,34.827265681908074,131.87921009930648
31,13,Z Boson,0.0,-1.6653345369377348e-16,0.0,89.84200993865117
32,13,Muon+,-10.503350521136282,38.78798391283079,-20.076293166551515,44.921004942914344
33,13,Muon-,10.503350066225916,-38.787984878286565,20.07629415705079,44.92100526735059
34,13,Photon,20.737303967784023,-11.142343953319397,34.82726515048616,42.03719814833824
35,14,Higgs,26.33206682399938,24.299547917667145,17.919152425139217,131.26287287676567
36,14,Z Boson,3.552713678800501e-15,-1.1102230246251565e-16,1.7763568394002505e-15,91.2011497104243
37,14,Muon+,33.51820134855262,-30.684497292414033,3.793807713796813,45.60057375719552
38,14,Muon-,-33.518203293675455,30.684497257555545,-3.7938075010838377,45.600575585611395
39,14,Photon,26.33206722579483,24.29954828844882,17.91915269856377,40.06172516925386
40,16,Higgs,14.92099145285487,-23.68569044071802,25.961659778305336,130.70063387770605
41,16,Z Boson,0.0,-1.2212453270876722e-15,-3.552713678800501e-15,92.521377831359
42,16,Muon+,-0.688385234296554,-25.80605220820046,-38.38767691764684,46.26068609130289
43,16,Muon-,0.6883843008119808,25.80605484043452,38.387678030455454,46.260687729198786
44,16,Photon,14.920991680531133,-23.685690802132974,25.961660174448816,38.17925804068046
45,17,Higgs,-8.36154643943596,-38.371811276254974,-5.989145292367429,131.1608982159411
46,17,Z Boson,0.0,3.3584246494910985e-15,0.0,91.43457126647463
47,17,Muon+,0.003825993182628107,39.53830895365862,22.95170746793845,45.717286419995794
48,17,Muon-,-0.0038262527253083434,-39.538310957947466,-22.951708436743377,45.71728549362816
49,17,Photon,-8.361546567023034,-38.37181186176235,-5.989145383754543,39.72632895082293
50,19,Higgs,-40.34214350448377,-0.31271710910281236,5.420392154548386,131.46089527169582
51,19,Z Boson,-3.552713678800501e-15,5.204170427930421e-18,-8.881784197001252e-16,90.75503726365864
52,19,Muon+,-41.586541182720374,11.18367746001053,14.303593643458704,45.377516567084406
53,19,Muon-,41.586544416354265,-11.18367761364244,-14.303593583240527,45.37751607988247
54,19,Photon,-40.34214412005603,-0.31271711387449674,5.420392237256998,40.70586001397126
55,21,Higgs,19.42454085852212,19.634712613656117,26.611664777547233,130.75173203142592
56,21,Z Boson,-1.7763568394002505e-15,-1.9984014443252818e-15,3.552713678800501e-15,92.39791366837338
57,21,Muon+,18.887959749648743,-41.39669043105945,7.993206974983308,46.1989566859821
58,21,Muon-,-18.887960722101187,41.39668945840382,-7.9932067622907965,46.19895673515055
59,21,Photon,19.42454085852212,19.63471261365612,26.61166477754722,38.353818363052554
60,23,Higgs,0.504287235445881,7.629076300607049,39.69687780109563,131.37465211360765
61,23,Z Boson,5.551115123125783e-17,-8.326672684688674e-16,-3.552713678800501e-15,90.94818417624539
62,23,Muon+,-10.967542412772044,0.7646752397592836,44.12493879620675,45.47409426413236
63,23,Muon-,10.967542605785564,-0.7646750249418035,-44.12493958578137,45.47409331634434
