,Event,Angle (radians)
0,0,1.0267104337024084
1,1,0.6761263395934822
2,2,0.9536609807167098
3,8,0.9628609177889496
4,11,2.0480762224130227
5,12,1.871592314033369
6,13,0.9153775464430266
7,18,2.566659082889624
8,19,2.007748544985642
9,23,0.6005237962518926
10,25,2.8839076006422273
11,30,2.214627108206503
12,37,1.0314462450984458
13,38,2.4582006254481676
14,39,0.9723162913058877
15,42,0.9831853940176823
16,43,1.194018388491664
17,44,0.20616196316469867
18,46,0.11972368562005686
19,47,1.8296420413818777
20,48,2.5286212795472456
21,49,2.1002975946591875
22,50,0.6497233622808413
23,51,1.7799049745894524
24,52,1.1077009661208541
25,54,2.0737827935801576
26,55,0.8606113339635224
27,57,0.5354470379672085
28,61,1.4994457018873335
29,64,2.4450270035766755
30,65,1.7721495132519842
31,66,0.7739522961677378
32,68,1.4899222961735255
33,69,2.9808913187286006
34,72,1.2362477154779943
35,73,1.5974442403290265
36,75,0.21071526679838856
37,77,1.6651955575777806
38,80,1.5298852158004679
39,81,2.2674007616394194
40,82,2.7087261623661836
41,83,2.7248523586501636
42,84,1.3121520762322594
43,85,0.9849061331162681
44,86,1.391020071551751
45,89,1.7442903147878641
46,90,1.765739943136343
47,92,1.060682895354527
48,94,2.788280516207067
49,97,2.214938038286824
50,98,1.7804517774477775
51,99,0.105649656273063
52,101,1.3189404307881105
53,106,2.6615376086492435
54,107,2.744301916928678
55,111,0.2431091641481695
56,112,2.3240526408645388
57,113,2.2639015743155486
58,114,0.748233203565544
59,115,0.7179069880599502
60,116,0.47318107148833266
61,119,0.4255745861470527
62,120,0.6473450260195545
63,124,2.6080991788729704
64,129,2.49691026446882
65,132,0.4938848339157628
66,135,0.7728642556600286
67,136,0.1909465927641065
68,140,0.9541398203932958
69,142,0.4840067038953447
70,145,1.586106857529958
71,146,1.0003383874289233
72,147,1.4346368882916354
73,152,0.241026262878931
74,153,0.6309426788251384
75,155,0.49409016232925973
76,157,2.1908640732901183
77,158,2.538611710836622
78,160,1.3702833451183725
79,164,1.383754234763477
80,166,1.1348347481942938
81,167,1.2681171968175378
82,168,2.7166900539261034
83,174,1.7896109978196044
84,175,1.0075854864430989
85,179,0.6516517663252338
86,181,3.0705362229923203
87,187,3.0365948419783266
88,188,0.8929274672026843
89,189,1.9238969964833352
