,Event,Angle (radians)
0,3,0.5580074675220491
1,8,1.3061022437695269
2,13,1.1757777132186222
3,43,2.416395365630674
4,53,2.394726127364731
5,58,0.9325796314027746
6,63,1.9467225620358057
7,133,0.4664122480278603
8,158,2.4780725091818536
9,168,0.7601891851806994
10,183,2.5303076874466974
11,188,0.6142810591674795
12,193,0.873997307083381
13,198,1.82952084893092
14,213,0.9873203777810708
15,218,2.6914488289041265
16,223,0.6866806136216402
17,228,1.5641500432573165
18,238,1.4740936043100397
19,248,1.44562496851873
20,268,0.705707866089558
21,278,1.801471099561156
22,283,1.1525047320310178
23,288,1.294950941134538
24,293,1.4173022946196288
25,313,1.1306587844381488
26,318,1.7910128988422274
27,328,1.9143174624056476
28,333,1.101771078541546
29,348,0.9495384841047452
30,353,2.454996025368794
31,363,1.798322051736202
32,368,0.5715515583927926
33,373,3.0443430933785165
34,378,0.8458555490263091
35,383,1.9102479743157799
36,398,0.4091849512690543
37,403,0.3205274923014052
38,413,1.8816059822293723
39,423,2.472838068146796
40,433,3.0637911319687876
41,438,0.8103353530495336
42,453,1.9439395328921187
43,473,2.1163604648761702
44,478,1.3188723769630368
45,483,2.2073664926511882
46,508,1.8219858300208214
47,513,1.4575658108922358
48,518,1.5917987928133752
49,523,0.5409887447537179
50,553,1.6680499829709081
51,568,1.604794155853949
52,588,1.4730705966030453
53,598,1.8051721908855143
54,618,1.259189598885974
55,623,1.0862360821908934
56,643,1.9516204616199584
57,648,1.9218290022303166
58,653,1.117047958201207
59,683,2.0111217617172232
60,688,0.9721405258300345
61,698,2.9020375564776235
62,708,2.4246930996408076
63,713,1.8450236932874682
64,723,1.9861996143399199
65,733,0.7225051065150369
66,743,1.6782316442460636
67,753,1.8693739722508231
68,758,1.7060796016654445
69,763,1.8806418196674926
70,793,2.0844315005770273
71,808,1.4856519521076552
72,823,1.8970694265830155
73,853,2.3443481658532987
74,858,1.471226618127202
75,863,0.9565294395751424
76,873,1.271772685458441
77,878,1.2240389349767669
78,883,2.3283517304045986
79,893,0.864502072611621
80,908,1.434483933849024
81,913,1.9132109889474231
82,918,0.6525289459590254
83,928,1.092666182529638
84,933,1.9637396417156003
85,953,2.4867485063188934
86,963,1.359436026793375
