,Event,Px,Py,Pz
0,17,1.7277366950451731,42.21605551127502,11.278981953793147
1,22,18.1377788491366,-27.555257938373188,23.664473053090774
2,27,-1.0034695587787463,43.2457083586872,-12.67220650462394
3,32,24.83216609652323,5.410823993087166,36.70497767086552
4,37,-27.202284080410895,29.57050812817132,7.434827439379163
5,47,42.281349586184376,12.131533951977747,8.104742902744377
6,52,-26.54772385477461,-12.05676158333971,-33.1601950747226
7,72,-40.17801534634294,21.045146782496523,0.096641089167818
8,77,31.05916308110958,-11.483005105353955,31.339477474131208
9,82,-38.722515613696594,23.190820284818624,6.234030971172709
10,87,44.66795798620528,4.067340675429676,9.827348391984136
11,102,-5.336352500050042,37.37426896355302,25.739205111101228
12,107,-35.0779879750802,-8.841010567178069,28.94188584797073
13,112,-34.35518774324794,26.100777611070445,-6.614933191954476
14,122,31.54447841456112,-30.15199285854088,-12.620339455704364
15,132,30.68313601423625,-32.62532003044647,-8.121227214096244
16,137,8.293467368834921,-8.58580219005843,-43.81770862103611
17,142,40.24004053829656,19.777333273629548,-9.907331578126698
18,147,16.417688493296055,-33.16717627088408,26.458721092498507
19,157,37.98201951343074,18.172803607615663,12.04759203472799
20,162,-34.25288378888385,28.58814762999546,-13.799336991237563
21,167,-41.62677970538276,-16.04733150239252,8.792016679913397
22,172,35.324392133001595,-11.80498573782335,38.18543453275002
23,177,19.239733765362644,-37.296992235875045,-11.78050685641097
24,182,-17.948956034631557,12.290587934687254,39.80974104673239
25,202,21.840331075646777,-38.37551472261288,19.265180485944395
26,207,-5.725744179346606,40.40324081504819,19.081216851139423
27,227,-36.531615794479485,9.243452208488929,15.884552839437209
28,267,-16.880405576444453,16.513101939078034,24.016077169299923
29,282,-4.45219273874691,30.382239339064736,32.96869594493353
30,292,18.33893875408663,41.84530961755005,-7.002344122482949
31,297,-28.473629469718,-27.24085919825891,22.93497441357328
32,302,40.10454066903829,-17.425911140554884,-20.161623292303656
33,312,24.063467602317782,-38.585773404321465,-5.6639404959215645
34,317,29.532376982995043,-29.521825933712105,17.983772282773522
35,337,-37.68660851380968,-23.552111506958177,-11.13513175164126
36,352,-31.76513232499452,21.45924002995045,-20.53555801243548
37,357,-45.232756050114006,3.005173121116557,-0.5847668345753885
38,372,21.910092790572197,31.709994028870888,-24.155654682910768
39,382,-44.44886182096891,-1.7172445629157402,-11.070044230889147
40,392,20.836204961420048,-35.29687427564673,-19.26089346274236
41,397,5.831959542418112,-13.623089828994914,44.46904277707152
42,437,-13.179816016807887,-39.55703626487183,-21.302376575174662
43,442,28.08198260324609,22.348232962341022,-18.8783526018045
44,457,6.412461157367508,-40.93579994660735,19.69732934116364
45,467,-9.974895563352955,-41.41018064706277,-15.568171535293374
46,477,43.15952201392764,-5.856548687998675,13.099228725494456
47,482,33.85991408232762,16.333347786677326,21.51452179040596
48,502,8.48133780763202,-25.506503568271608,36.28343129451595
49,512,-9.419033840343198,-17.688595817078426,41.28727876840836
50,517,16.229904580339806,10.166050281192652,-40.97854124292482
51,522,-28.849738040568862,10.723887255468204,-33.06037676241004
52,527,11.005605639188047,-0.5462290655640325,42.29790758785196
53,542,31.367639250582528,-31.890249207698176,7.156496230244155
54,547,32.74071829799777,15.298884202271491,28.233563931986765
55,552,14.88471761319789,-0.6355019763067136,-43.995186399690056
56,587,-12.407048611225022,-44.33716718345554,3.4891042176065863
57,592,33.352292460373135,9.151192133132245,-30.1415001436802
58,607,-7.928871311286512,-42.15725198391084,-13.771946735808823
59,612,-33.49215312793834,-22.347162026431405,2.254410615825336
60,617,38.01237154796733,-23.394908916825877,1.907107014148532
61,627,-6.303878290376296,-42.06749791948747,-13.797364359821698
62,632,-21.20466294398268,-35.455434855722736,-7.223487425862324
63,637,-10.57452979996479,-44.34255816432062,1.9539423205985773
64,642,25.618970337785417,-24.35404051178481,30.10722602761027
65,652,36.20887484544481,25.15793616577827,7.620863413630455
66,657,6.973685014111971,42.45397321642002,-15.832855507623597
67,667,-11.94464512631562,42.632706811920166,-2.8032159250903046
68,672,31.99729185425494,-22.516609437206945,21.729507480950524
69,687,15.811700073209282,-39.85468933832661,4.367994887173687
70,692,40.942146583529976,-10.702606326819753,-16.328415668528216
71,697,18.71898584368899,-37.77778746772,15.392625898740825
72,707,39.58308412024937,15.302186681837997,-15.631603365045397
73,717,-2.296127900660558,44.328512792322286,11.022384053585744
74,722,8.663715399220186,-34.216878659474304,26.734683511245517
75,742,-39.2999112990049,-13.023439834980442,15.4034168569603
76,747,22.2422313986707,23.30596950054093,-31.37007232541585
77,752,20.320897278731508,35.96770286342659,-18.601394830550007
78,757,29.2444561188506,-34.56368423085973,9.74972499905876
79,772,2.45397042512032,-17.64822480458931,-41.30734085098458
80,782,-39.36930535829434,-2.462425808795787,-24.601547510432876
81,797,-24.820088625201485,-14.623973116228044,-35.55219053660743
82,807,46.2210413576714,-0.56398241271299,1.4585976116160673
83,812,23.95403093586092,5.489059762412551,-38.84671828647127
84,817,-3.934412483414161,2.5629604649235995,33.91809159696604
85,827,-10.910087803297952,-36.70048537736641,-23.324788472118374
86,847,27.070681337777803,-33.39760785145254,19.576859719609907
87,852,-45.51514441015499,-0.1400779418034456,3.1708606414174074
88,857,26.37178892207152,30.594421405110744,-19.57542911468475
89,862,44.38249496150532,-12.435633733409729,-3.414088665111054
90,867,18.208276456390973,-33.03593198996135,26.08874600971337
91,882,12.751749755108932,15.77954013838602,-40.21709708222824
92,887,40.52717463583785,-11.548769791484508,14.73352661324095
93,892,-0.2131745737253928,-38.969897783726616,-21.88376257752259
94,902,-36.535171825170735,22.3993699573246,15.479474270108147
95,912,21.190157038810085,-26.240192164316305,30.47332687753704
96,917,26.740066489095856,-11.958140731730357,32.829368602247435
97,922,37.36265192102584,19.46340519390909,15.374451520207986
98,927,-0.2740523741720722,-24.810429231359038,38.57575853900089
99,932,-40.93260015000607,-6.893105765322104,16.720968165855243
100,952,-26.246511277608057,29.093606299591432,14.489761687782968
101,967,39.179308006464304,12.802631138617308,-20.393735580587357
102,977,16.184205537997684,-34.292115432820296,25.735847459957377
103,987,-32.26696023125398,21.959424051384797,-23.94469568262353
104,992,-22.365944537442,24.095841295525823,31.587254683963533
105,1017,-15.261756482929616,-18.78335825397663,39.21840760842227
106,1022,27.95250163285472,-13.780896198264276,-33.20618317540377
107,1027,15.309554316716904,9.742677675700468,41.92173542016266
108,1032,-11.325618361339089,-36.891667150856655,-23.23996647063618
109,1042,-35.68929931244401,-27.27574130058658,-9.82226284786474
110,1057,29.800445584590435,-14.738218579644572,31.41139129849571
111,1062,-40.63993348832732,-27.186263282082194,4.358672637526823
112,1072,7.363274261983765,36.03441334954289,26.815095220644537
113,1077,-2.079101419558762,43.67942978327167,9.87639642469516
114,1087,-42.49683669328704,3.015434000073199,15.065683909753322
115,1092,-13.354756095231842,6.943737052169917,42.53758068649868
116,1097,-24.210193451848752,-35.55023661568471,-13.688328269225366
117,1107,8.544174740359125,-18.897839228634943,-39.279545956772566
118,1132,-16.503780732836727,-37.4450123024265,24.84259839161576
119,1137,23.819306631575063,-19.59343386962039,21.048578493560427
120,1187,30.750747119855653,-23.48976230403258,24.260912405139983
121,1207,11.408979809609605,-31.237146673577517,29.69228149623593
122,1217,35.27667963724447,21.20860673038627,-19.647415921687884
123,1227,-24.356286126094428,-42.57929867513668,-5.008991884009555
124,1237,27.83659547532984,-26.79587801165989,25.172621750978124
125,1242,-5.812674593130274,-37.75638885583512,25.80211657344423
126,1247,22.928276074772644,30.716549398027784,25.03638909744302
127,1252,7.526969607820924,-16.057515738304897,-42.003328476500265
128,1257,14.289667476638789,30.3005333357687,-30.64805530525353
129,1267,-24.18516211304492,5.606572165505271,37.23134437055868
130,1282,-24.703813667098792,-11.213906674731676,-36.99522050171056
131,1307,14.400189332099735,18.43397860928992,39.47266364944295
132,1312,-43.26305142125032,2.520907391973348,11.987090925568992
133,1317,37.12080433808799,22.245095758574006,-16.8449030404841
134,1327,34.070060045196044,26.00193090655241,8.345132557373084
135,1337,-13.892638578146002,-5.698838417363866,-42.920120234092
136,1342,-9.603737446312474,-37.42668901412999,-26.559869532737583
137,1357,-7.669813479982903,16.52928661705551,41.879188498308615
138,1367,-30.43419808386658,11.547305804260704,-27.41721812256312
139,1372,13.013005656330732,33.57682569216309,28.15772477822085
140,1377,-16.35075042603556,-5.387283811179577,-43.2151320594356
141,1382,10.608759789439093,-4.40256788596043,46.087250360243154
142,1402,6.826585703370014,-21.53516855359408,40.140474246769536
143,1417,11.021213034812195,0.9409877791502026,-45.04760032861796
144,1427,17.33815209742002,41.594551400577046,1.210218865727014
145,1442,-26.375495222800712,-22.80868109476912,29.050236303378803
146,1447,13.077344731744653,-12.011643764716032,-27.493783915161565
147,1457,-23.46494495039628,-1.8297482075200329,-39.05076122365342
148,1462,0.2483380895387346,18.23027862203318,-39.67520473879382
149,1472,36.05855108968888,-15.096318027876638,23.009264250031038
150,1477,-35.86530427714163,24.14808023052551,-10.737870641972329
151,1482,33.80543621950008,-26.61235262911557,15.154387690280842
152,1492,-4.011406505604991,-37.58328271295758,24.67288518746857
153,1502,26.54864596833229,-35.02938663546077,-7.143288060188038
154,1517,-38.95566990985476,1.921692864097421,25.572463264246995
155,1522,4.628486039264699,-12.400511873189238,-40.77372852378762
156,1527,3.6973575180136766,40.89556792299911,20.31865989994629
157,1532,31.751866032502768,34.81616544448233,8.507359132086252
158,1552,36.1577808493056,-8.957237852458785,26.379248710950858
159,1567,-26.940712714908905,31.581392451144417,-19.54107765701905
160,1577,-14.669109285985202,-7.600932976286598,41.600967073657024
161,1582,43.89598298941469,-0.3326485307649168,-12.238498652006854
162,1587,-14.435786878859206,23.13590129146429,-35.39996889080901
163,1607,35.367272091048136,-14.705742323677129,-24.150498017750103
164,1632,8.744033182189298,21.367763986955435,-42.88558677576855
165,1637,12.387050861337231,23.575072632251494,32.72120018296919
166,1642,22.6561984468337,-30.83773645771893,21.07832858270581
167,1652,-37.06449525105398,9.98935781737405,-23.62691380386824
168,1662,30.36022750343023,-3.976147973517995,-34.65315668539496
