,Event,Angle (radians)
0,7,1.7106871936698467
1,12,2.2504242125058354
2,17,1.7126885779757037
3,27,2.4180203816628594
4,32,2.8282026705287513
5,37,1.3111426017987002
6,42,1.6948855423310465
7,47,1.01572269398097
8,52,1.1969798130193625
9,57,2.245288565316778
10,62,0.40621916721785206
11,67,1.329075061877696
12,72,2.512773665249358
13,77,1.5633799383837215
14,117,2.1832023278591994
15,132,0.8967732514519193
16,137,2.6283111272884985
17,162,1.967913519111344
18,197,0.5156465475922639
19,202,2.0564839186446924
20,207,2.0215782784733727
21,217,0.45245801376520095
22,227,0.9169525688053081
23,242,2.237991544324712
24,257,1.100976881989599
25,262,2.059194748485776
26,282,2.4579814443834893
27,287,0.6666395916581342
28,292,1.7011170138179057
29,307,1.6993207828026928
30,312,2.5074302328629585
31,317,1.2570363215913658
32,322,0.4567192438891334
33,327,1.0251496186660691
34,337,0.603206189713562
35,347,0.9763678875836461
36,352,1.1747500585711783
37,367,2.263024465374451
38,377,1.7314696678345725
39,382,1.554264568132945
40,387,0.7672074407415934
41,397,2.065061228692708
42,402,0.5410047951958097
43,417,1.313215546404964
44,422,2.538975846147108
45,467,2.229046587703159
46,497,2.490120283316838
47,507,1.3581574459441128
48,512,2.6369026333155627
49,527,0.6463707457478074
50,547,0.9903470986703942
51,552,1.2403009585991829
52,557,2.145088376499611
53,567,0.8747382296049285
54,577,2.2072391543759107
55,597,1.7954479703804271
56,607,1.8123085914546457
57,612,2.05605445288671
58,632,0.5652315895341095
59,642,0.9978194768006731
60,647,1.9676893952599168
61,667,1.1080444690081572
62,672,1.237308198052321
63,692,2.826018315034034
64,707,0.7656666941343948
65,712,1.6577135228666442
66,717,1.5437022168274155
67,722,2.790886570317385
68,757,1.9923283977033686
69,762,1.3123412711536884
70,787,1.9036522797008653
71,792,1.4951568888705706
72,807,1.4172400774563148
73,812,1.3387003333633845
74,822,2.4618317567108456
75,827,2.320032696213471
76,832,1.279734665833535
77,842,0.6440645286948984
78,862,1.4609341612397404
79,872,0.2580979878724729
80,882,1.3440479922253254
81,887,2.213590970134361
82,892,1.8190122595887772
83,902,0.613751220885812
84,907,2.8681522690423416
85,927,1.2407406889285564
86,937,2.940142446484078
87,942,0.8528253640777387
88,952,2.0284981913824796
89,962,0.8345730432285875
90,977,1.1859127431293044
91,982,0.27639486834035976
92,1002,2.6832373625091575
93,1007,1.709184485448539
94,1022,0.7742723646126125
95,1032,2.3714736375711887
96,1037,0.46010811278811264
97,1042,1.6451354201429675
98,1047,1.621659757484903
99,1052,1.475670794923456
100,1057,0.7504479930043961
101,1062,2.6931790486586293
102,1067,2.7252574377300185
103,1082,1.4102675413709536
104,1092,1.0856362373695172
105,1102,0.6743258611017557
106,1117,0.46617566168132135
107,1142,1.4026336675919158
108,1172,1.1707983392366832
109,1187,1.286954790899148
110,1217,0.6213820394911255
111,1227,1.4181198187894346
112,1242,2.8789342260860424
113,1247,2.816159855240116
114,1257,1.3107002099646257
115,1262,1.3568647301624497
116,1277,1.0276124259444461
117,1292,0.46804790845931593
118,1297,2.547323330507172
119,1332,1.5271037105844254
120,1352,0.4414180467169219
121,1367,2.5777840405061037
122,1372,2.122658981555479
123,1377,3.0019470695191743
124,1392,2.201291960150323
125,1407,1.8436248983644725
126,1412,1.3596619835158417
127,1417,1.5461624774648204
128,1422,1.7471390012279626
129,1432,1.9473796699320203
130,1437,2.0033508816720667
