,Event,Angle (radians)
0,2,2.30043473052731
1,22,0.4739522124913644
2,82,2.2093703934968194
3,87,1.7204321031209202
4,92,1.3506058069592575
5,97,0.7102355065294613
6,102,2.44290349236208
7,107,1.5620355255525733
8,112,0.9305809486615124
9,122,2.6978213410661156
10,127,2.67707464286982
11,142,0.8039376907003357
12,147,1.3473095964059045
13,152,1.1764334966919816
14,157,2.6100516126590216
15,167,1.7873810713670795
16,172,1.5240335931493578
17,177,2.4759275875284303
18,182,0.8495257801935586
19,187,1.3015594235372732
20,192,0.937650248183225
21,212,2.5951150066082067
22,222,1.5203200562251025
23,232,1.4010881035590559
24,237,1.7155332148853348
25,247,0.48485100250374874
26,252,2.3464682429119668
27,267,1.3246188950786435
28,272,1.7654985268365808
29,277,2.534135812845778
30,297,2.213043286897407
31,302,2.282510894464306
32,332,2.6170608899526084
33,342,1.1165815717864012
34,357,0.4060690651419684
35,362,2.0141021822373686
36,372,2.247652688490593
37,392,2.536891728490712
38,407,0.7678324873102419
39,412,0.8362451372661721
40,427,1.3883339038767122
41,432,1.5667705565494794
42,437,2.384528349693432
43,442,1.5151715967659674
44,447,1.8390408600640058
45,452,2.49658753954527
46,457,1.6445163329688346
47,462,0.5055223464145803
48,472,2.620232358760139
49,477,2.6446656013105447
50,482,1.6657166409668855
51,487,0.566214488308985
52,492,1.110222377577124
53,502,2.7488208369260243
54,517,1.1185855398683537
55,522,2.4980935184024653
56,532,2.8901108970649796
57,537,1.5174558734298433
58,542,1.8919821018513472
59,562,0.7728817666079033
60,572,1.034187391287502
61,582,1.9027527889324036
62,587,1.2914946992909153
63,592,1.5770204174419857
64,602,2.4445288583286153
65,617,2.3086066715593896
66,622,2.3685089719506784
67,627,1.8783761747318792
68,637,1.1491801162646218
69,652,1.8901189970116865
70,657,1.4171050073828686
71,662,1.7186065933963137
72,677,2.759944875113852
73,682,1.6570590401978158
74,687,1.769837673509225
75,697,2.0264601892535237
76,702,2.79910903970027
77,727,0.857345882309339
78,732,1.8059187588509025
79,737,1.0609738350877493
80,742,1.8431952208067943
81,747,1.1638002241492988
82,752,2.485767347995951
83,767,1.5227728664731195
84,772,2.274871811109483
85,777,1.6230902302463173
86,782,0.785493558416274
87,797,1.4511113267656612
88,802,1.947357500110792
89,817,1.8736435056409833
90,837,0.7997142041598979
91,847,1.7128342636334055
92,852,1.0445489073678167
93,857,1.661882996651348
94,867,1.4112875965568603
95,877,2.2146563738207434
96,897,2.7066117264722793
97,912,1.1321249650428356
98,917,0.50886227606675
99,922,2.0597635477872425
100,932,2.2260680533785404
101,947,1.457795905399062
102,957,1.8694132965039751
103,967,1.702639722714846
104,972,2.3287662914690865
105,987,1.4074304262671289
106,992,1.7764454053767476
107,997,1.4938100804257763
108,1012,2.2063718038909985
109,1017,1.9654963161936612
110,1027,2.6840294667541404
111,1072,1.9156684009647649
112,1077,2.049954628538256
113,1087,2.4118936571323575
114,1097,2.2305236603579934
115,1107,1.287608846719148
116,1112,2.4162737824661664
117,1122,1.6186342090616406
118,1127,0.5257257457412043
119,1132,1.090309418504089
120,1137,0.5357227786911359
121,1147,1.9892129029275887
122,1152,1.9540705579217497
123,1157,1.7097604577437988
124,1162,2.2593611954650816
125,1167,1.4270605237050638
126,1177,2.9176341493692024
127,1182,1.3437551811180617
128,1192,2.2128326504612015
129,1197,1.6883877727192123
130,1202,3.0720394498903394
131,1207,2.514131420852277
132,1212,0.6561500200319544
133,1222,2.776195467952659
134,1232,1.6608513103532594
135,1237,2.152044416059149
136,1252,0.8789721884273717
137,1267,0.5371654302209848
138,1272,2.3084478686012697
139,1282,0.7572949788707092
140,1287,1.9084006417133101
141,1302,1.6047018996491675
142,1307,2.2004356707002413
143,1312,1.1257569126881657
144,1317,1.952871700272864
145,1322,1.6671936689158422
146,1327,2.47340532914739
147,1337,1.9178828511216497
148,1342,2.173082977191409
149,1347,1.271355943429317
150,1357,1.1975294730732018
151,1362,2.6338937844908683
152,1382,1.4331806005732155
153,1387,0.9606641847132209
154,1397,0.5692849439983051
155,1402,1.9279427229055215
156,1427,2.5594687840831907
157,1452,2.162093284963887
158,1457,0.1280216667537982
159,1467,2.6414331114128724
160,1472,2.8326710567011664
161,1482,2.683793259540463
162,1492,1.2317840048149513
163,1517,2.8547738743049607
164,1537,0.9074204263789358
165,1552,0.2530636154858104
166,1562,1.0262283806691475
167,1567,2.3238143115111707
168,1572,1.1813192361220355
169,1592,1.29558315390017
170,1632,1.6007803782996368
171,1642,1.7429815791622287
172,1647,1.039489381149534
173,1652,0.5608729460303122
174,1657,0.6145629764371048
175,1667,1.1330550526746563
176,1672,2.666037366464238
177,1682,1.3236288868825168
178,1687,2.527006785012123
179,1692,1.7201358201271635
180,1712,1.9556751784642856
181,1722,2.2106617187499014
182,1727,1.1118082735328294
183,1732,2.2595595162780544
184,1742,1.7422830672795198
185,1747,1.4483436738800846
186,1777,1.534176576419556
187,1782,0.794109038356675
188,1812,2.4160775505113903
189,1822,0.9733746939711857
190,1827,2.4864246443816365
191,1852,2.106030689776445
192,1877,0.5109246262736518
193,1882,1.205448534164002
194,1887,2.4959542648192192
195,1892,0.5909094427923354
196,1907,1.2565858511098105
197,1912,2.6329672529678487
198,1917,1.593715718051554
199,1922,1.8640078379814402
200,1952,1.5774398500787574
201,1962,1.5795506973532802
202,1967,2.3477336132871844
203,1972,1.942608789736952
204,1977,2.1849218691465735
205,1997,0.58201251131713
206,2002,2.659577229032214
207,2007,2.3922803671841786
208,2022,1.2557606222822117
209,2042,0.7010643823547994
210,2067,1.9823967262128086
211,2072,1.4945099633783836
212,2082,1.4315480237695295
213,2087,1.4090733818262908
214,2097,2.2693427811537483
215,2102,1.9538347476902456
216,2107,1.843913621771885
217,2117,0.23172293507507474
218,2122,1.4250092855300511
219,2132,2.0394919259568827
220,2152,1.642588712833417
221,2157,2.24012296508635
222,2187,1.6583949291352456
223,2192,1.8900411839324756
224,2197,2.1544206606205267
225,2202,2.2478667178546554
226,2207,0.8708258917000462
227,2212,1.8741090849949493
228,2222,0.6314981314384488
229,2232,2.280911661808416
230,2237,0.57422950082075
231,2247,1.6989570556401314
232,2267,2.199767059217257
233,2282,2.1555885169721427
234,2287,0.9293879055551719
235,2292,1.1963274883828623
236,2302,1.7186602196721508
237,2307,1.3967177940681246
238,2312,1.9519428679647424
239,2317,0.6208311065223187
240,2322,1.4866375468801274
241,2332,1.8087604415866345
242,2337,2.9693985827698013
243,2342,1.3816615790087807
244,2352,0.8331639335842599
245,2357,1.661165955499992
246,2362,1.3693517955305996
247,2367,2.781289120867604
248,2382,1.8442203939166038
249,2392,2.5937587180233073
250,2402,2.113171057251402
251,2422,3.036075285567441
252,2432,0.6003846908887049
253,2447,2.705955179845574
254,2452,1.6642104619087155
255,2457,2.060475979773709
256,2462,2.4395478032651168
257,2467,1.7874009792261574
258,2487,0.9720923181578247
259,2497,0.7008931544883056
260,2507,1.2097986499241646
261,2512,1.292416984508003
262,2517,0.4226191652814214
263,2527,1.862154299010894
264,2537,0.8484189745961828
265,2552,1.6549011286929043
266,2562,2.130674364047248
267,2567,0.31249256101904643
268,2582,1.7293799279693987
269,2597,1.4379581411288946
270,2612,1.8781857455190136
271,2617,2.2796593479649396
272,2642,1.2217609571486276
273,2652,1.4239436342007337
274,2667,1.307195379352807
275,2672,1.983740571692593
276,2677,0.7518875611744826
277,2682,0.7137486596166297
278,2687,1.6397842632923045
279,2692,1.5574143920887706
280,2697,0.5874314133806269
281,2707,1.3461533206782679
282,2722,1.9216695762601785
