,Event,Px,Py,Pz
0,0,-13.643479956295849,35.27206798562091,27.512488694156687
1,1,7.23005761495829,-37.961524601027264,25.935173034969672
2,2,-29.872665593926424,-9.17649587424421,-32.52453628289258
3,8,11.581730312245009,-39.97454701466606,-1.3050778857610696
4,11,-29.19958658240171,-28.160851283743767,16.443631959762584
5,12,38.12650026517756,-1.159041410063883,26.31975200396824
6,13,-3.174805667783968,-6.907338851146674,45.585592584388735
7,18,0.8478695480012473,-4.211924734683468,45.14038254981715
8,19,-32.33300666261752,-25.27615911149361,21.761907457335894
9,23,25.332266552334936,-35.672319782872925,-14.02966425028315
10,25,44.71266228864853,4.965294674217221,9.66704434903209
11,30,-22.07504080685544,-39.28218442917759,-9.780454627738171
12,37,12.124936684511136,31.05619675764412,33.34463713443582
13,38,5.591740915258361,6.239445355100908,-45.06125905783239
14,39,-39.86974551755088,18.95264297520208,-4.5826857334916005
15,42,2.390371962595059,-0.6685259184977232,44.595284504573954
16,43,-33.0817049594771,13.707460229437393,-26.5495248552948
17,44,-21.89063918573749,-31.061552455757777,25.22330111656656
18,46,6.946479344402555,-42.30458402183511,-17.109738672654647
19,47,-24.843415050638605,-5.1219938361853785,-34.42172129195249
20,48,32.81931734049905,9.681199004462002,-28.056433853531857
21,49,30.29021275144092,23.865623429857003,24.51127228804914
22,50,2.4760304158641477,12.494590682698002,44.26483729574551
23,51,-39.08069427385696,-6.841951087579749,27.687932227631958
24,52,-40.2186976912912,21.294255264973703,0.8060965010646903
25,54,-28.004355954340397,35.018908854245694,-11.272724274533246
26,55,30.13781269217594,2.014648351508166,33.99057623271129
27,57,-17.248753097528343,-35.674064557860305,6.211934010912861
28,61,-10.48128675861133,15.869837278668342,-41.4016344016739
29,64,-2.2943215678620046,-22.69205454507846,38.1990013419036
30,65,10.28743895073227,6.618259777900804,43.74081166569926
31,66,37.50720268846795,20.94067022289772,13.932749485793696
32,68,-1.429160470554745,9.017458546324525,-45.17751904957854
33,69,-38.17817404450263,24.87132605408621,-0.4686339559895367
34,72,22.32212401624948,-28.50610437527689,-24.634225571901915
35,73,36.16902286791706,-27.17569402143485,3.0992489991201904
36,75,-19.08557309624141,-40.47053542511318,-7.493199664836507
37,77,26.933014796403867,28.933334210256877,-23.622785823537747
38,80,0.4823201064840674,-18.96950262637671,-40.56766223856884
39,81,-6.565004113240716,-42.79955953018647,-17.52235342251791
40,82,21.38032149230644,-32.97850506442092,-23.37995443734442
41,83,-6.549981347022687,-22.71803620228644,-41.17121892600007
42,84,-22.017067333168782,-0.6050961088761609,39.32358237143973
43,85,21.837708087750404,29.72356412736102,27.424482634230102
44,86,-18.207683006587217,-30.915487314002377,28.29300402046083
45,89,-16.1430930025162,-44.042684682228334,4.610446587209315
46,90,-32.34521565114505,-7.18545734816381,-31.41340904189419
47,92,-28.86485118549334,28.82608479863044,21.21498414990585
48,94,16.3644964014206,43.07629151986647,6.878400504361295
49,97,4.969263410895826,-4.160073485104,-43.81254808607702
50,98,21.661256069218844,27.07909815377265,-30.72811938071483
51,99,20.62068095966788,-18.61246894217156,31.9036153902381
52,101,41.74995491115129,-6.164379769674151,-16.24185653705082
53,106,-36.5297291944666,-36.07189362719723,-2.751152815959152
54,107,20.027942367200723,21.699579776911893,-33.56688330324664
55,111,-19.226738026634276,-34.086878559829955,-22.055013804162197
56,112,-29.6044951658702,30.10724380723151,-18.333443090431803
57,113,-5.1159488674159785,35.721184226243324,26.75320915531883
58,114,-4.582457524346692,-21.237483676104137,-41.628827664717576
59,115,-2.490595348037544,36.87913225945434,-24.05490221991329
60,116,1.623973643652307,45.10073701752958,5.707344004379854
61,119,-17.005463568364668,35.508002019450466,-26.899585467179232
62,120,36.242272505565545,-24.95720865730516,-0.8148680102300538
63,124,6.880083545661751,-42.87174118751099,12.41180438044172
