Event,Particle,Px,Py,Pz,Energy
0,Higgs,0.0,0.0,9.9999998245167e-15,125.0
0,Z Boson,-29.6926212310791,5.010354518890381,-7.983409881591797,93.84730529785156
0,Electron+,-31.44879913330078,-3.8911776542663574,-45.389373779296875,55.356693267822266
0,Electron-,1.7561776638031006,8.901532173156738,37.40596389770508,38.49061584472656
0,Photon,29.6926212310791,-5.010354518890381,7.983409881591797,31.152690887451172
1,Higgs,0.0,0.0,9.9999998245167e-15,125.0
1,Electron+,13.843402862548828,-17.239280700683594,-27.12142562866211,34.99148941040039
1,Electron-,10.869499206542969,-13.54381275177002,-21.333948135375977,27.508512496948242
1,Photon,-24.712902069091797,30.78309440612793,48.45537567138672,62.499996185302734
2,Higgs,0.0,0.0,9.9999998245167e-15,125.0
2,Electron+,-5.955641746520996,-17.694122314453125,28.234058380126953,33.848392486572266
2,Electron-,9.846449851989746,-19.057695388793945,20.713172912597656,29.819185256958008
2,Photon,-3.890807628631592,36.75181579589844,-48.94723129272461,61.332420349121094
3,Higgs,0.0,0.0,9.9999998245167e-15,125.0
3,Muon+,36.959205627441406,19.520503997802734,-43.781288146972656,60.52970504760742
3,Muon-,1.1997677087783813,0.7705226540565491,-1.361733078956604,1.9744945764541626
3,Photon,-38.15896987915039,-20.291027069091797,45.14302062988281,62.49580001831055
4,Higgs,0.0,0.0,9.9999998245167e-15,125.0
4,Z Boson,-17.900806427001953,11.154504776000977,10.793622016906738,101.30687713623047
4,Muon+,0.9894915223121643,-11.909393310546875,-40.36410903930664,42.09614181518555
4,Muon-,-18.890296936035156,23.06389808654785,51.15773010253906,59.21073532104492
4,Photon,17.900806427001953,-11.154504776000977,-10.793622016906738,23.69312286376953
5,Higgs,0.0,0.0,9.9999998245167e-15,125.0
5,Muon+,9.827361106872559,8.31215763092041,-28.14052391052246,30.944616317749023
5,Muon-,9.89985466003418,8.077094078063965,-28.853857040405273,31.55634307861328
5,Photon,-19.727216720581055,-16.389251708984375,56.994380950927734,62.49904251098633
6,Higgs,0.0,0.0,9.9999998245167e-15,125.0
6,Z Boson,15.593259811401367,22.60357093811035,12.157278060913086,94.96884155273438
6,Muon+,44.4099006652832,38.57415771484375,17.983572006225586,61.51117706298828
6,Muon-,-28.816638946533203,-15.970586776733398,-5.826293468475342,33.457664489746094
6,Photon,-15.593259811401367,-22.60357093811035,-12.157278060913086,30.031160354614258
7,Higgs,0.0,0.0,9.9999998245167e-15,125.0
7,Electron+,1.9580684900283813,-0.3399551808834076,4.5477519035339355,4.9630279541015625
7,Electron-,22.699413299560547,-3.9420878887176514,52.72285842895508,57.53697204589844
7,Photon,-24.657482147216797,4.282042980194092,-57.27061080932617,62.5
8,Higgs,0.0,0.0,9.9999998245167e-15,125.0
8,Z Boson,-26.695337295532227,28.61610221862793,-9.238236427307129,84.78971099853516
8,Muon+,-22.496692657470703,-18.540973663330078,13.665684700012207,32.196754455566406
8,Muon-,-4.198644638061523,47.157073974609375,-22.903921127319336,52.59295654296875
8,Photon,26.695337295532227,-28.61610221862793,9.238236427307129,40.210289001464844
9,Higgs,0.0,0.0,9.9999998245167e-15,125.0
9,Electron+,-3.8338353633880615,4.413061618804932,14.112929344177246,15.275738716125488
9,Electron-,-11.57518196105957,10.154705047607422,44.661556243896484,47.24148178100586
9,Photon,15.409016609191895,-14.567766189575195,-58.77448654174805,62.48278045654297
10,Higgs,0.0,0.0,9.9999998245167e-15,125.0
10,Z Boson,2.3268485069274902,-18.90755844116211,23.9883975982666,94.36744689941406
10,Electron+,10.118734359741211,18.687702178955078,-24.556093215942383,32.47492599487305
10,Electron-,-7.7918853759765625,-37.59526062011719,48.544490814208984,61.89252471923828
10,Photon,-2.3268485069274902,18.90755844116211,-23.9883975982666,30.632551193237305
11,Higgs,0.0,0.0,9.9999998245167e-15,125.0
11,Electron+,-7.415666103363037,0.8036226630210876,-4.077572345733643,8.500853538513184
11,Electron-,-45.390743255615234,-2.2692689895629883,-29.242046356201172,54.042266845703125
11,Photon,52.8064079284668,1.4656463861465454,33.319618225097656,62.45688247680664
12,Higgs,0.0,0.0,9.9999998245167e-15,125.0
12,Z Boson,5.574461936950684,-20.136795043945312,20.138219833374023,95.98081970214844
12,Muon+,-33.06035614013672,5.563230037689209,33.80280685424805,47.608585357666016
12,Muon-,38.63481903076172,-25.70002555847168,-13.664587020874023,48.372230529785156
12,Photon,-5.574461936950684,20.136795043945312,-20.138219833374023,29.019184112548828
13,Higgs,0.0,0.0,9.9999998245167e-15,125.0
13,Z Boson,-14.904648780822754,8.008404731750488,-25.031612396240234,94.78634643554688
13,Muon+,-18.8270206451416,43.26036834716797,-34.05548095703125,58.18679428100586
13,Muon-,3.9223713874816895,-35.2519645690918,9.023869514465332,36.599552154541016
13,Photon,14.904648780822754,-8.008404731750488,25.031612396240234,30.213651657104492
14,Higgs,0.0,0.0,9.9999998245167e-15,125.0
14,Z Boson,-19.21211814880371,-17.72917366027832,-13.073978424072266,95.77059936523438
14,Muon+,24.080631256103516,-39.39360046386719,-2.628523588180542,46.24557113647461
14,Muon-,-43.29275131225586,21.664426803588867,-10.445454597473145,49.525028228759766
14,Photon,19.21211814880371,17.72917366027832,13.073978424072266,29.229402542114258
15,Higgs,0.0,0.0,9.9999998245167e-15,125.0
15,Electron+,10.135725975036621,-15.722667694091797,20.771652221679688,27.953474044799805
15,Electron-,12.889503479003906,-19.561235427856445,25.391571044921875,34.54726028442383
15,Photon,-23.025230407714844,35.283905029296875,-46.16322326660156,62.499267578125
16,Higgs,0.0,0.0,9.9999998245167e-15,125.0
16,Z Boson,-11.044085502624512,17.531461715698242,-19.216068267822266,96.7408218383789
16,Muon+,-6.395125389099121,-16.74713134765625,-48.317073822021484,51.53556823730469
16,Muon-,-4.648960590362549,34.278594970703125,29.10100746154785,45.20524978637695
16,Photon,11.044085502624512,-17.531461715698242,19.216068267822266,28.259180068969727
17,Higgs,0.0,0.0,9.9999998245167e-15,125.0
17,Z Boson,6.116275310516357,28.06808090209961,4.380919456481934,95.94112396240234
17,Muon+,3.494049310684204,55.55522537231445,25.451658248901367,61.207759857177734
17,Muon-,2.622225761413574,-27.487146377563477,-21.07073974609375,34.73336410522461
17,Photon,-6.116275310516357,-28.06808090209961,-4.380919456481934,29.05887794494629
18,Higgs,0.0,0.0,9.9999998245167e-15,125.0
18,Electron+,9.14155101776123,-10.143091201782227,-8.37082576751709,16.016273498535156
18,Electron-,36.58890914916992,-25.031509399414062,-14.907182693481445,46.771240234375
18,Photon,-45.73046112060547,35.17460250854492,23.27800941467285,62.212486267089844
19,Higgs,0.0,0.0,9.9999998245167e-15,125.0
19,Z Boson,29.290021896362305,0.2270452231168747,-3.9354231357574463,95.44590759277344
19,Muon+,-29.145946502685547,11.280112266540527,12.632068634033203,33.70915985107422
19,Muon-,58.435970306396484,-11.053067207336426,-16.56749153137207,61.73674392700195
19,Photon,-29.290021896362305,-0.2270452231168747,3.9354231357574463,29.554094314575195
20,Higgs,0.0,0.0,9.9999998245167e-15,125.0
20,Electron+,-22.173847198486328,36.071624755859375,14.272748947143555,44.682804107666016
20,Electron-,-9.178385734558105,14.124503135681152,5.8118672370910645,17.819150924682617
20,Photon,31.35223388671875,-50.196128845214844,-20.08461570739746,62.498043060302734
21,Higgs,0.0,0.0,9.9999998245167e-15,125.0
21,Z Boson,-14.358296394348145,-14.513651847839355,-19.6708984375,96.64949798583984
21,Muon+,11.56711196899414,-48.796749114990234,-2.0363709926605225,50.190425872802734
21,Muon-,-25.9254093170166,34.28309631347656,-17.6345272064209,46.45907211303711
21,Photon,14.358296394348145,14.513651847839355,19.6708984375,28.350502014160156
22,Higgs,0.0,0.0,9.9999998245167e-15,125.0
22,Muon+,-11.318747520446777,-27.766254425048828,7.567611217498779,30.925052642822266
22,Muon-,-11.31232738494873,-28.472232818603516,7.639439105987549,31.575448989868164
22,Photon,22.631074905395508,56.238487243652344,-15.207050323486328,62.4995002746582
23,Higgs,0.0,0.0,9.9999998245167e-15,125.0
23,Z Boson,-0.3669120669364929,-5.55080509185791,-28.882871627807617,95.58628845214844
23,Muon+,-11.123430252075195,-1.5936636924743652,31.8536376953125,33.77774429321289
23,Muon-,10.756518363952637,-3.957141399383545,-60.73651123046875,61.80854797363281
23,Photon,0.3669120669364929,5.55080509185791,28.882871627807617,29.41370964050293
24,Higgs,0.0,0.0,9.9999998245167e-15,125.0
24,Muon+,51.521541595458984,-1.7932424545288086,17.098352432250977,54.314361572265625
24,Muon-,7.460601806640625,0.028655054047703743,3.42496919631958,8.209931373596191
24,Photon,-58.98214340209961,1.76458740234375,-20.52332305908203,62.4757080078125
25,Higgs,0.0,0.0,9.9999998245167e-15,125.0
25,Z Boson,-19.90506362915039,-14.701451301574707,-17.26517677307129,94.82666015625
25,Muon+,-11.882262229919434,-48.17919921875,10.35327434539795,50.69146728515625
25,Muon-,-8.02280044555664,33.47774887084961,-27.618450164794922,44.135189056396484
25,Photon,19.90506362915039,14.701451301574707,17.26517677307129,30.173341751098633
26,Higgs,0.0,0.0,9.9999998245167e-15,125.0
26,Z Boson,28.016220092773438,-7.084824085235596,-2.396933078765869,96.00260925292969
26,Muon+,-28.05287742614746,3.4876554012298584,20.0830135345459,34.676597595214844
26,Muon-,56.069095611572266,-10.572479248046875,-22.47994613647461,61.32601547241211
26,Photon,-28.016220092773438,7.084824085235596,2.396933078765869,28.99738883972168
27,Higgs,0.0,0.0,9.9999998245167e-15,125.0
27,Z Boson,9.729199409484863,-25.94436264038086,4.790417671203613,96.88034057617188
27,Muon+,38.262264251708984,12.307154655456543,22.400197982788086,46.013553619384766
27,Muon-,-28.533063888549805,-38.25151824951172,-17.60978126525879,50.86678695678711
27,Photon,-9.729199409484863,25.94436264038086,-4.790417671203613,28.119661331176758
28,Higgs,0.0,0.0,9.9999998245167e-15,125.0
28,Muon+,-5.563454627990723,2.781912088394165,-5.059609413146973,8.018844604492188
28,Muon-,-37.08993148803711,19.908998489379883,-34.5875358581543,54.48247528076172
28,Photon,42.65338897705078,-22.69091033935547,39.64714431762695,62.498680114746094
29,Higgs,0.0,0.0,9.9999998245167e-15,125.0
29,Electron+,1.864513874053955,-2.718944787979126,4.272772312164307,5.396819114685059
29,Electron-,53.44202423095703,14.61939811706543,18.797687530517578,58.50751876831055
29,Photon,-55.30653762817383,-11.900453567504883,-23.070459365844727,61.09566116333008
30,Higgs,0.0,0.0,9.9999998245167e-15,125.0
30,Muon+,44.10325241088867,22.038877487182617,-30.04819107055664,57.73832321166992
30,Muon-,3.869406223297119,1.2558794021606445,-2.508014678955078,4.780255317687988
30,Photon,-47.97265625,-23.294757843017578,32.55620574951172,62.481422424316406
31,Higgs,0.0,0.0,9.9999998245167e-15,125.0
31,Z Boson,-17.755693435668945,17.749515533447266,-20.288658142089844,92.72090911865234
31,Electron+,17.65880012512207,-22.132837295532227,-26.802494049072266,38.988067626953125
31,Electron-,-35.414493560791016,39.88235092163086,6.513836860656738,53.73284149169922
31,Photon,17.755693435668945,-17.749515533447266,20.288658142089844,32.279090881347656
32,Higgs,0.0,0.0,9.9999998245167e-15,125.0
32,Z Boson,-27.070220947265625,1.758840799331665,-3.125548839569092,97.6932373046875
32,Electron+,27.96184539794922,25.080076217651367,-5.007816791534424,37.89397430419922
32,Electron-,-55.032066345214844,-23.32123565673828,1.882267951965332,59.799259185791016
32,Photon,27.070220947265625,-1.758840799331665,3.125548839569092,27.306766510009766
33,Higgs,0.0,0.0,9.9999998245167e-15,125.0
33,Electron+,-10.545170783996582,7.234824180603027,-10.822184562683105,16.753000259399414
33,Electron-,-28.798799514770508,19.759660720825195,-29.546117782592773,45.74700164794922
33,Photon,39.343971252441406,-26.994483947753906,40.36830139160156,62.5
34,Higgs,0.0,0.0,9.9999998245167e-15,125.0
34,Z Boson,-4.092135906219482,-21.03485107421875,44.8476448059082,75.295654296875
34,Electron+,-6.277225494384766,15.19590950012207,-1.4052494764328003,16.501331329345703
34,Electron-,2.185089349746704,-36.23076248168945,46.252891540527344,58.79432678222656
34,Photon,4.092135906219482,21.03485107421875,-44.8476448059082,49.704341888427734
35,Higgs,0.0,0.0,9.9999998245167e-15,125.0
35,Z Boson,-10.961709022521973,-15.363041877746582,21.420663833618164,96.45132446289062
35,Electron+,33.792633056640625,4.244045734405518,31.692054748535156,46.5224723815918
35,Electron-,-44.75434112548828,-19.607088088989258,-10.271391868591309,49.92885208129883
35,Photon,10.961709022521973,15.363041877746582,-21.420663833618164,28.548675537109375
36,Higgs,0.0,0.0,9.9999998245167e-15,125.0
36,Electron+,31.25594711303711,33.56489181518555,31.61005401611328,55.702171325683594
36,Electron-,4.159583568572998,3.301244020462036,4.292997360229492,6.828629016876221
36,Photon,-35.415531158447266,-36.86613845825195,-35.90304946899414,62.469200134277344
37,Higgs,0.0,0.0,9.9999998245167e-15,125.0
37,Z Boson,-21.789390563964844,20.113407135009766,-3.5633862018585205,95.13322448730469
37,Electron+,-51.970088958740234,20.396663665771484,17.29287338256836,58.446189880371094
37,Electron-,30.180696487426758,-0.28325697779655457,-20.856260299682617,36.68703079223633
37,Photon,21.789390563964844,-20.113407135009766,3.5633862018585205,29.866777420043945
38,Higgs,0.0,0.0,9.9999998245167e-15,125.0
38,Z Boson,14.80976676940918,-9.3754301071167,-14.553934097290039,102.21744537353516
38,Electron+,16.33702850341797,-21.52458953857422,-54.2868766784668,60.64051055908203
38,Electron-,-1.5272612571716309,12.149160385131836,39.73294448852539,41.576934814453125
38,Photon,-14.80976676940918,9.3754301071167,14.553934097290039,22.782556533813477
39,Higgs,0.0,0.0,9.9999998245167e-15,125.0
39,Z Boson,-7.178542137145996,20.206743240356445,-19.921356201171875,95.73048400878906
39,Electron+,24.580917358398438,10.581600189208984,-46.20581817626953,53.39634323120117
39,Electron-,-31.75946044921875,9.625143051147461,26.28446388244629,42.334144592285156
39,Photon,7.178542137145996,-20.206743240356445,19.921356201171875,29.269514083862305
40,Higgs,0.0,0.0,9.9999998245167e-15,125.0
40,Z Boson,1.3192025423049927,9.6793851852417,31.04332160949707,92.45589447021484
40,Muon+,-19.41727066040039,-14.093850135803223,-20.809865951538086,31.76049041748047
40,Muon-,20.736473083496094,23.773235321044922,51.853187561035156,60.69540786743164
40,Photon,-1.3192025423049927,-9.6793851852417,-31.04332160949707,32.54410171508789
41,Higgs,0.0,0.0,9.9999998245167e-15,125.0
41,Electron+,0.7924761772155762,-1.7325935363769531,4.963082313537598,5.316209316253662
41,Electron-,8.523845672607422,-18.633811950683594,53.38643264770508,57.18379211425781
41,Photon,-9.316322326660156,20.366405487060547,-58.34951400756836,62.5
42,Higgs,0.0,0.0,9.9999998245167e-15,125.0
42,Electron+,-6.98623514175415,-1.8558770418167114,-9.181845664978027,11.685806274414062
42,Electron-,-31.1756591796875,-7.378846168518066,-39.44412612915039,50.8154296875
42,Photon,38.161895751953125,9.234723091125488,48.625972747802734,62.49876403808594
43,Higgs,0.0,0.0,9.9999998245167e-15,125.0
43,Z Boson,-10.578749656677246,6.112733364105225,27.049816131591797,95.31889343261719
43,Electron+,16.819875717163086,8.132472038269043,-28.077472686767578,33.72521209716797
43,Electron-,-27.39862632751465,-2.0197389125823975,55.127288818359375,61.593685150146484
43,Photon,10.578749656677246,-6.112733364105225,-27.049816131591797,29.68110466003418
44,Higgs,0.0,0.0,9.9999998245167e-15,125.0
44,Muon+,4.826846599578857,1.2612838745117188,-5.549436092376709,7.463021755218506
44,Muon-,18.509429931640625,-5.161345958709717,-51.93389129638672,55.37489318847656
44,Photon,-23.33627700805664,3.900062322616577,57.48332595825195,62.162086486816406
45,Higgs,0.0,0.0,9.9999998245167e-15,125.0
45,Z Boson,-0.9251638650894165,-10.025075912475586,26.494848251342773,96.65682983398438
45,Electron+,-36.9501838684082,3.2501282691955566,-15.10261344909668,40.0495719909668
45,Electron-,36.025020599365234,-13.2752046585083,41.59746170043945,56.607261657714844
45,Photon,0.9251638650894165,10.025075912475586,-26.494848251342773,28.34316635131836
46,Higgs,0.0,0.0,9.9999998245167e-15,125.0
46,Z Boson,0.8367815613746643,-26.116973876953125,12.513689041137695,96.02779388427734
46,Muon+,-41.97786331176758,-30.394466400146484,10.955442428588867,52.97166442871094
46,Muon-,42.81464385986328,4.277493000030518,1.5582464933395386,43.05612564086914
46,Photon,-0.8367815613746643,26.116973876953125,-12.513689041137695,28.97220802307129
47,Higgs,0.0,0.0,9.9999998245167e-15,125.0
47,Z Boson,-12.02700138092041,-26.908309936523438,-1.352104902267456,95.49518585205078
47,Muon+,-6.505337715148926,33.280174255371094,6.557840347290039,34.53847122192383
47,Muon-,-5.521663188934326,-60.1884880065918,-7.909945011138916,60.95671463012695
47,Photon,12.02700138092041,26.908309936523438,1.352104902267456,29.50481414794922
48,Higgs,0.0,0.0,9.9999998245167e-15,125.0
48,Muon+,-11.273213386535645,5.054816722869873,-6.987270832061768,14.193999290466309
48,Muon-,-28.550947189331055,34.9880485534668,-18.5567684173584,48.822998046875
48,Photon,39.824161529541016,-40.04286575317383,25.54404067993164,61.98300552368164
49,Higgs,0.0,0.0,9.9999998245167e-15,125.0
49,Muon+,3.6125221252441406,3.591855764389038,2.0053982734680176,5.475812911987305
49,Muon-,37.00766372680664,38.12541198730469,20.70595932006836,57.02510070800781
